"event","experiment time","system time","system time text"
"START",0.000000000E0,1684287919.791,"2023-05-17 10:45:19.791 UTC+09:00"
"PAUSE",1.587733872E1,1684287935.669,"2023-05-17 10:45:35.669 UTC+09:00"
