"event","experiment time","system time","system time text"
"START",0.000000000E0,1695470637.096,"2023-09-23 21:03:57.096 UTC+09:00"
"PAUSE",4.415010838E1,1695470681.246,"2023-09-23 21:04:41.246 UTC+09:00"
