"event","experiment time","system time","system time text"
"START",0.000000000E0,1693663191.531,"2023-09-02 22:59:51.531 UTC+09:00"
"PAUSE",8.844637106E1,1693663279.978,"2023-09-02 23:01:19.978 UTC+09:00"
