"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.701862836100000E9,"2023-12-06 20:40:36.100 UTC+09:00"
"PAUSE",1.049991890083300E3,1.701863886071000E9,"2023-12-06 20:58:06.071 UTC+09:00"
