"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.707797083E-1,-3.239886761E0,1.680136800E0,-8.419719338E-1
7.807377083E-1,-2.983912468E0,1.218507648E0,-5.045254827E-1
7.906957084E-1,-2.635942221E0,7.958885431E-1,-8.978342265E-2
8.006537083E-1,-2.330567122E0,5.404509306E-1,1.943969131E-1
8.106117083E-1,-2.063850641E0,4.391324818E-1,4.314240217E-1
8.205697084E-1,-1.824422836E0,3.987278044E-1,5.104025006E-1
8.305277083E-1,-1.760693431E0,3.671229780E-1,4.041132629E-1
8.404857083E-1,-1.906245828E0,4.678005874E-1,2.341159731E-1
8.504437084E-1,-2.507238388E0,2.581663430E-1,-1.513856743E-2
8.604017083E-1,-3.291685581E0,2.431386858E-1,-4.808013439E-1
8.703597083E-1,-3.295335054E0,7.053204179E-1,-6.255257726E-1
8.803177084E-1,-3.167117834E0,7.763703465E-1,-7.064301968E-1
8.902757083E-1,-3.101326227E0,6.252849698E-1,-6.670657396E-1
9.002337083E-1,-3.073971033E0,5.619720221E-1,-4.719535112E-1
9.101907084E-1,-3.060952425E0,6.126302481E-1,-2.316531986E-1
9.201487083E-1,-3.150682211E0,8.155178428E-1,-5.217291787E-2
9.301067084E-1,-3.281696081E0,1.292120337E0,8.287768066E-2
9.400647084E-1,-3.289428234E0,1.760590792E0,6.600788981E-2
9.500227083E-1,-3.117814779E0,2.066710234E0,-5.372295380E-1
9.599807084E-1,-2.707533836E0,2.301824331E0,-1.160457969E0
9.699387084E-1,-2.171838999E0,2.597019196E0,-1.547737718E0
9.798967083E-1,-1.680785060E0,2.886228561E0,-1.664392471E0
9.898547084E-1,-1.292976975E0,3.001442432E0,-1.563666582E0
9.998127084E-1,-9.599023461E-1,2.874732733E0,-1.371599674E0
1.009770708E0,-6.542621255E-1,2.512402058E0,-1.161559343E0
1.019728708E0,-4.088954926E-1,2.052141905E0,-9.652991891E-1
1.029686708E0,-2.183112204E-1,1.716385841E0,-7.987869978E-1
1.039644708E0,-9.824339300E-2,1.560518503E0,-6.424490809E-1
1.049602708E0,-6.226601824E-2,1.528595567E0,-4.986359477E-1
1.059559708E0,5.348177627E-3,1.557978868E0,-4.672378004E-1
1.069517708E0,1.754480153E-1,1.385169625E0,-4.768895805E-1
1.079475708E0,3.649495244E-1,1.303171396E0,-5.003488660E-1
1.089433708E0,4.811248183E-1,1.351015687E0,-5.715172887E-1
1.099391708E0,5.609594584E-1,1.464715004E0,-6.841633916E-1
1.109349708E0,6.343355179E-1,1.642432451E0,-8.149620295E-1
1.119307708E0,6.642150879E-1,1.795443058E0,-9.313756824E-1
1.129265708E0,6.662199497E-1,1.956642389E0,-1.018397093E0
