"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.589310408E-1,3.564354515E1,1.397937787E2,1.660929108E1,NaN,NaN,3.622509380E2,9.319209099E0
2.613999844E-1,3.564354515E1,1.397937787E2,1.660929108E1,NaN,NaN,3.622509448E2,6.727130413E0
6.261868000E0,3.564354930E1,1.397937680E2,1.660929108E1,NaN,NaN,4.013703637E2,8.802440643E0
1.291481805E1,3.564355347E1,1.397937573E2,1.660929108E1,NaN,NaN,4.503680094E2,8.916476250E0
1.895607805E1,3.564355366E1,1.397937568E2,1.660929108E1,NaN,NaN,4.513843213E2,8.582148552E0
2.520667303E1,3.564355366E1,1.397937568E2,1.660929108E1,NaN,NaN,4.513843256E2,6.433049202E0
3.423864305E1,3.564350900E1,1.397938231E2,1.660929108E1,NaN,NaN,3.500000000E1,5.367644787E0
6.762090600E1,3.564352513E1,1.397938226E2,1.660929108E1,NaN,NaN,3.500000000E1,8.504376411E0
9.326660001E1,3.564352304E1,1.397938355E2,1.660929108E1,NaN,NaN,3.500000000E1,8.997715950E0
1.015329040E2,3.564352448E1,1.397938263E2,1.660929108E1,NaN,NaN,3.500000000E1,9.075828552E0
1.109602710E2,3.564351824E1,1.397938359E2,1.660929108E1,NaN,NaN,3.500000000E1,9.163375854E0
1.262945430E2,3.564352078E1,1.397938530E2,1.660929108E1,NaN,NaN,3.500000000E1,9.377679825E0
1.346206310E2,3.564352816E1,1.397938272E2,1.660929108E1,NaN,NaN,3.500000000E1,9.100408554E0
1.419753770E2,3.564352845E1,1.397938294E2,1.660929108E1,NaN,NaN,3.500000000E1,9.028256416E0
1.502362920E2,3.564354712E1,1.397938703E2,1.660929108E1,NaN,NaN,3.500000000E1,9.099266052E0
1.575409870E2,3.564352916E1,1.397938325E2,1.660929108E1,NaN,NaN,3.500000000E1,9.033126831E0
1.658834311E2,3.564353411E1,1.397938513E2,1.660929108E1,NaN,NaN,3.500000000E1,9.114242554E0
1.731504860E2,3.564352842E1,1.397938318E2,1.660929108E1,NaN,NaN,3.500000000E1,9.039641380E0
1.890599591E2,3.564353291E1,1.397938315E2,1.660929108E1,NaN,NaN,3.500000000E1,9.042046547E0
2.040859140E2,3.564353380E1,1.397938320E2,1.660929108E1,NaN,NaN,3.500000000E1,6.651683807E0
2.175191001E2,3.564352234E1,1.397938369E2,1.660929108E1,NaN,NaN,3.500000000E1,9.091945648E0
2.271757650E2,3.564352201E1,1.397938370E2,1.660929108E1,NaN,NaN,3.500000000E1,9.145265579E0
2.501215780E2,3.564352149E1,1.397938387E2,1.660929108E1,NaN,NaN,3.500000000E1,9.409754753E0
2.653395801E2,3.564352472E1,1.397938411E2,1.660929108E1,NaN,NaN,3.500000000E1,9.431818008E0
3.053547920E2,3.564352903E1,1.397938433E2,1.660929108E1,NaN,NaN,4.918328257E2,9.671377182E0
3.138245621E2,3.564352903E1,1.397938433E2,1.660929108E1,NaN,NaN,5.012875723E2,9.198544502E0
3.213146050E2,3.564352903E1,1.397938433E2,1.660929108E1,NaN,NaN,5.253657151E2,9.123713493E0
3.315850220E2,3.564352903E1,1.397938433E2,1.660929108E1,NaN,NaN,5.892369345E2,9.293805122E0
3.361595020E2,3.564352837E1,1.397938225E2,1.660929108E1,NaN,NaN,3.500000000E1,8.814837456E0
3.494569410E2,3.564352811E1,1.397938304E2,1.660929108E1,NaN,NaN,3.500000000E1,9.414319992E0
3.615951980E2,3.564352791E1,1.397938371E2,1.660929108E1,NaN,NaN,2.273389498E2,9.381814003E0
3.698036931E2,3.564352779E1,1.397938410E2,1.660929108E1,NaN,NaN,3.118524048E2,9.199729919E0
3.945339810E2,3.564351527E1,1.397938233E2,1.660929108E1,NaN,NaN,3.500000000E1,9.634619713E0
4.096740060E2,3.564354691E1,1.397938703E2,1.660929108E1,NaN,NaN,3.500000000E1,9.490936279E0
4.326169380E2,3.564352218E1,1.397938343E2,1.660929108E1,NaN,NaN,3.500000000E1,9.633186340E0
4.407117070E2,3.564352781E1,1.397938226E2,1.660929108E1,NaN,NaN,3.500000000E1,9.223995209E0
4.480655290E2,3.564352832E1,1.397938297E2,1.660929108E1,NaN,NaN,3.500000000E1,9.170433998E0
4.947479010E2,3.564352745E1,1.397938357E2,1.660929108E1,NaN,NaN,3.500000000E1,9.818721771E0
5.029852810E2,3.564352187E1,1.397938373E2,1.660929108E1,NaN,NaN,3.500000000E1,9.272782326E0
5.232485300E2,3.564351674E1,1.397938389E2,1.660929108E1,NaN,NaN,1.749265466E2,9.627650261E0
5.240298131E2,3.564351674E1,1.397938389E2,1.660929108E1,NaN,NaN,1.750849754E2,7.666132450E0
5.318271370E2,3.564353394E1,1.397938323E2,1.660929108E1,NaN,NaN,3.500000000E1,9.196737289E0
5.483655291E2,3.564352921E1,1.397938306E2,1.660929108E1,NaN,NaN,3.500000000E1,9.204513550E0
5.575075951E2,3.564351797E1,1.397938316E2,1.660929108E1,NaN,NaN,3.500000000E1,9.196870804E0
5.659780461E2,3.564352157E1,1.397938372E2,1.660929108E1,NaN,NaN,3.500000000E1,9.297159195E0
5.738195130E2,3.564352804E1,1.397938306E2,1.660929108E1,NaN,NaN,3.500000000E1,9.260468483E0
5.820486020E2,3.564353424E1,1.397938326E2,1.660929108E1,NaN,NaN,3.500000000E1,9.295296669E0
5.970730890E2,3.564353428E1,1.397938328E2,1.660929108E1,NaN,NaN,3.500000000E1,7.979458332E0
6.121073101E2,3.564353425E1,1.397938328E2,1.660929108E1,NaN,NaN,3.500000000E1,6.246988773E0
6.200495300E2,3.564353401E1,1.397938323E2,1.660929108E1,NaN,NaN,3.500000000E1,8.542940140E0
6.284401110E2,3.564350999E1,1.397938374E2,1.660929108E1,NaN,NaN,3.500000000E1,8.713866234E0
