"event","experiment time","system time","system time text"
"START",0.000000000E0,1694238739.673,"2023-09-09 14:52:19.673 UTC+09:00"
"PAUSE",3.899482941E1,1694238778.668,"2023-09-09 14:52:58.668 UTC+09:00"
