"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.411396667E-1,1.938301325E-1,-8.422832936E-2,1.763146371E-1
7.510936667E-1,2.130008936E-1,1.338672489E-1,1.193323061E-1
7.610476667E-1,2.070629150E-1,1.080431119E-1,8.396948874E-2
7.710026667E-1,1.940669566E-1,-1.221309751E-1,1.291636080E-1
7.809566667E-1,1.449289769E-1,-1.581757069E-1,1.137426943E-1
7.909106667E-1,4.954333976E-2,-6.514562666E-2,4.495750368E-2
8.008646667E-1,-1.149964891E-2,7.906829938E-3,1.244517136E-2
8.108196667E-1,-2.619338455E-3,1.042426825E-1,2.143440582E-2
8.207736667E-1,7.467650808E-3,1.530280709E-1,1.069467515E-2
8.307276667E-1,-1.804543287E-2,1.203372329E-1,-2.899121679E-2
8.406826667E-1,-5.130269378E-2,1.733922400E-2,-5.325397104E-2
8.506366667E-1,-8.627399802E-2,-7.484370470E-2,-4.544211924E-2
8.605906667E-1,-1.169152856E-1,-1.220570281E-1,-5.264275521E-2
8.705456667E-1,-1.296462715E-1,-7.266817242E-2,-6.641235948E-2
8.804996667E-1,-1.422180235E-1,4.368909169E-3,-7.347543538E-2
8.904536667E-1,-1.764345765E-1,4.536427930E-2,-8.991965652E-2
9.004081667E-1,-2.334780842E-1,5.893391557E-3,-9.480367601E-2
9.103631667E-1,-2.736273408E-1,-5.344955996E-2,-8.601631224E-2
9.203171667E-1,-2.538426518E-1,-5.720444024E-2,-8.610929549E-2
9.302711667E-1,-2.342646867E-1,-2.102939039E-2,-7.752273232E-2
9.402261667E-1,-2.347051799E-1,6.606230978E-3,-5.938793346E-2
9.501801667E-1,-2.316971272E-1,-1.745729335E-2,-2.482010424E-2
9.601341667E-1,-2.326225787E-1,-2.460148931E-2,-1.447106246E-2
9.700891667E-1,-2.084368169E-1,1.591504365E-2,-1.937740296E-2
9.800431667E-1,-1.939059794E-1,2.898974344E-2,-3.119057417E-2
9.899971667E-1,-1.722009480E-1,-7.639905438E-3,-2.798252925E-2
9.999511667E-1,-1.648352295E-1,-1.603170484E-2,-2.378203534E-2
1.009906167E0,-1.534648538E-1,2.114788815E-2,-2.480176091E-2
1.019860167E0,-1.262241900E-1,5.295438319E-2,-2.502133884E-2
1.029814167E0,-1.016096622E-1,6.447628140E-2,-2.237255871E-2
1.039769167E0,-7.197662443E-2,6.087612733E-2,-2.035469562E-2
1.049723167E0,-3.922612965E-2,4.116820171E-2,-1.947052777E-2
1.059677167E0,-1.269528549E-2,3.400056809E-2,-1.827192679E-2
1.069632167E0,8.241420612E-3,3.768345341E-2,-1.780400798E-2
1.079586167E0,2.296726592E-2,4.153838381E-2,-1.019449905E-2
1.089540167E0,3.457279131E-2,2.819781192E-2,-2.091032919E-3
1.099494167E0,4.009594396E-2,6.766908336E-3,2.276798477E-3
1.109449167E0,4.742017016E-2,-6.818142720E-3,6.846516393E-3
1.119403167E0,5.185728520E-2,-2.440876514E-2,5.682842340E-3
