"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.996206667E-1,1.037447617E1,1.346300354E0,9.104067993E-1
8.095756667E-1,1.011656250E1,6.258485413E-1,1.707798615E0
8.195296667E-1,9.905651093E0,2.914439392E-1,1.994452515E0
8.294836667E-1,9.869426422E0,1.459465027E-1,1.567091217E0
8.394386667E-1,9.705217896E0,2.523751831E-1,1.202299805E0
8.493926667E-1,9.221573639E0,4.309538269E-1,1.197659454E0
8.593466667E-1,9.120683441E0,4.842430115E-1,1.393751678E0
8.693016667E-1,9.572593689E0,3.601510620E-1,1.593137054E0
8.792556667E-1,9.748777313E0,1.074765015E-1,1.760489044E0
8.892096667E-1,9.729018402E0,3.266207886E-1,1.645677795E0
8.991641667E-1,9.756112061E0,6.360273743E-1,1.356179810E0
9.091191667E-1,9.630074158E0,6.821315002E-1,1.305585022E0
9.190731667E-1,9.589807892E0,4.572990417E-1,1.530866547E0
9.290271667E-1,9.620194702E0,2.636018372E-1,1.888772278E0
9.389821667E-1,9.646240540E0,2.293231201E-1,1.812880096E0
9.489361667E-1,9.588460693E0,2.088157654E-1,1.505718842E0
9.588901667E-1,9.661508789E0,7.768844604E-2,1.436113586E0
9.688451667E-1,9.785900116E0,-9.505233765E-2,1.483564911E0
9.787991667E-1,9.808503113E0,-4.108955383E-1,1.572929077E0
9.887531667E-1,9.671238556E0,-4.122427368E-1,1.610201569E0
9.987071667E-1,9.618099060E0,-3.170407104E-1,1.559457092E0
1.008662167E0,9.727970581E0,-2.772235107E-1,1.498234406E0
1.018616167E0,9.780361633E0,-3.391946411E-1,1.628014526E0
1.028570167E0,9.755513306E0,-3.285667419E-1,1.733545074E0
1.038525167E0,9.656419373E0,-3.035687256E-1,1.733844452E0
1.048479167E0,9.539063416E0,-3.198847961E-1,1.795067139E0
1.058433167E0,9.540111237E0,-3.338058472E-1,1.798659668E0
1.068388167E0,9.572444000E0,-3.144960022E-1,1.745520172E0
1.078342167E0,9.560319214E0,-2.941383362E-1,1.749412079E0
1.088296167E0,9.497599640E0,-1.745370483E-1,1.783241730E0
1.098250167E0,9.486672363E0,-3.906875610E-2,1.832189941E0
1.108205167E0,9.472901001E0,8.083190918E-3,1.861678619E0
1.118159167E0,9.508526917E0,5.149291992E-2,1.883233795E0
1.128113167E0,9.566456451E0,1.526824951E-2,1.863774261E0
1.138068167E0,9.573342133E0,-1.082249451E-1,1.845961304E0
1.148022167E0,9.601483612E0,-3.158432007E-2,1.813927917E0
1.157976167E0,9.602830811E0,5.224136353E-2,1.810634766E0
1.167931167E0,9.618847504E0,1.549278259E-1,1.844614105E0
1.177885167E0,9.639205170E0,2.079176331E-1,1.832189941E0
1.187839167E0,9.655072174E0,2.207908630E-1,1.769021301E0
1.197794167E0,9.608069916E0,2.556683350E-1,1.701362000E0
1.207748167E0,9.558972015E0,2.555186462E-1,1.681603088E0
1.217702167E0,9.521699524E0,2.270777893E-1,1.710043945E0
1.227656167E0,9.500593414E0,2.140548706E-1,1.714833984E0
1.237611167E0,9.488768005E0,2.293231201E-1,1.710642700E0
1.247565167E0,9.494456177E0,2.032772827E-1,1.722617798E0
1.257519167E0,9.533674622E0,1.487905884E-1,1.714085541E0
1.267474167E0,9.610315247E0,1.378633118E-1,1.723515930E0
1.277428167E0,9.672286377E0,1.062789917E-1,1.711091766E0
1.287382167E0,9.739346924E0,1.309776306E-1,1.691033478E0
1.297336167E0,9.766590271E0,2.457888794E-1,1.685944061E0
1.307291167E0,9.725276184E0,2.260299683E-1,1.667532349E0
1.317245167E0,9.771529999E0,2.760260010E-1,1.714684296E0
1.327199167E0,9.757159882E0,1.730401611E-1,1.718725891E0
1.337154167E0,9.575587463E0,1.570234680E-1,1.607357483E0
1.347108167E0,9.645791473E0,2.650987244E-1,1.501976624E0
1.357062167E0,1.020308258E1,3.297642517E-1,1.386267242E0
1.367017167E0,9.929601288E0,4.538562012E-1,1.833387451E0
1.376971167E0,9.341923370E0,5.186714172E-1,1.940714264E0
1.386925167E0,9.241182861E0,4.058061218E-1,1.635199585E0
1.396879167E0,9.623637543E0,6.929090881E-1,1.476679230E0
1.406834167E0,9.792785797E0,6.959028625E-1,1.611249390E0
1.416788167E0,9.834548950E0,5.498066711E-1,1.586550751E0
1.426742167E0,9.650282135E0,4.264631653E-1,1.274599457E0
1.436697167E0,9.212292938E0,3.585044861E-1,8.660989380E-1
1.446651167E0,9.191486206E0,4.126918030E-1,9.089099121E-1
1.456605167E0,9.546398163E0,4.632865906E-1,1.336121521E0
1.466560167E0,9.898765411E0,5.830375671E-1,1.795965271E0
1.476514167E0,1.007674530E1,7.021897888E-1,1.995799713E0
1.486468167E0,9.978848877E0,4.975653076E-1,2.057172089E0
1.496422167E0,9.700427856E0,3.049159241E-1,1.902992706E0
1.506377167E0,9.377399597E0,1.908531189E-1,1.623074799E0
1.516331167E0,9.284592590E0,1.910028076E-1,1.425485687E0
1.526285167E0,9.367520142E0,2.389031982E-1,1.424288177E0
1.536240167E0,9.485175476E0,2.995271301E-1,1.556014252E0
1.546194167E0,9.536369019E0,3.378474426E-1,1.686842194E0
1.556148167E0,9.543254700E0,3.026705933E-1,1.717678070E0
1.566103167E0,9.564809875E0,2.312690735E-1,1.698817291E0
1.576057167E0,9.625733185E0,1.830693054E-1,1.669029236E0
1.586011167E0,9.710906067E0,1.254391479E-1,1.680405579E0
1.595965167E0,9.746981049E0,7.409591675E-2,1.733844452E0
1.605920167E0,9.733958130E0,6.496490479E-2,1.746418304E0
1.615874167E0,9.711654510E0,9.864486694E-2,1.725611572E0
1.625828167E0,9.738897858E0,1.218466187E-1,1.669029236E0
1.635783167E0,9.754016418E0,1.166075134E-1,1.658700714E0
1.645737167E0,9.737850037E0,1.710942078E-1,1.732497253E0
1.655691167E0,9.687255249E0,2.186952209E-1,1.673370209E0
1.665646167E0,9.624835052E0,2.070195007E-1,1.532363434E0
1.675600167E0,9.576635284E0,1.672023010E-1,1.474882965E0
1.685554167E0,9.584568787E0,1.483415222E-1,1.438658295E0
1.695508167E0,9.633367310E0,1.651066589E-1,1.484313354E0
1.705463167E0,9.634265442E0,1.841171265E-1,1.571881256E0
1.715417167E0,9.614356842E0,2.168989563E-1,1.616189117E0
1.725371167E0,9.589957581E0,2.459385681E-1,1.613345032E0
1.735326167E0,9.574539642E0,2.649490356E-1,1.594633942E0
1.745280167E0,9.548344116E0,2.694396973E-1,1.593885498E0
1.755234167E0,9.573940887E0,2.863545227E-1,1.605561218E0
1.765189167E0,9.626032562E0,3.306623840E-1,1.676064606E0
1.775143167E0,9.674232330E0,3.248245239E-1,1.751657410E0
1.785097167E0,9.691446533E0,2.793191528E-1,1.761237488E0
1.795052167E0,9.688303070E0,2.486329651E-1,1.720671844E0
1.805006167E0,9.663604431E0,2.360591125E-1,1.706601105E0
1.814960167E0,9.624086609E0,2.601589966E-1,1.729503479E0
1.824914167E0,9.577383728E0,2.820135498E-1,1.729952545E0
1.834869167E0,9.586664429E0,3.089575195E-1,1.726958771E0
1.844823167E0,9.635013885E0,3.523672485E-1,1.713935852E0
1.854777167E0,9.732610931E0,4.026626587E-1,1.667981415E0
1.864732167E0,9.854307861E0,4.578977966E-1,1.615590363E0
1.874686167E0,9.962233429E0,4.626878357E-1,1.555415497E0
1.884640167E0,9.977202301E0,4.312532043E-1,1.491199036E0
1.894594167E0,9.938432922E0,4.195774841E-1,1.482367401E0
1.904548917E0,9.902657318E0,3.573069763E-1,1.518292694E0
1.914502917E0,9.855505371E0,3.101550293E-1,1.593735809E0
1.924456917E0,9.760303345E0,3.031196594E-1,1.658251648E0
1.934411917E0,9.617350616E0,3.561094666E-1,1.665137329E0
1.944365917E0,9.469907227E0,4.111949158E-1,1.602268066E0
1.954319917E0,9.374106445E0,4.641847229E-1,1.500030670E0
1.964274917E0,9.339678040E0,5.486091614E-1,1.423240356E0
1.974228917E0,9.335337067E0,6.246510315E-1,1.422042847E0
1.984182917E0,9.348509674E0,6.500981140E-1,1.460662537E0
1.994136917E0,9.392817535E0,6.566844177E-1,1.495240631E0
2.004091917E0,9.433682556E0,6.465055847E-1,1.554217987E0
2.014045917E0,9.470505981E0,6.418652344E-1,1.631157990E0
2.023999917E0,9.521549835E0,6.456074524E-1,1.633103943E0
2.033954917E0,9.546398163E0,6.358776855E-1,1.618733826E0
2.043908917E0,9.500294037E0,6.104306030E-1,1.622176666E0
2.053862917E0,9.470056915E0,5.673202515E-1,1.639540558E0
2.063817917E0,9.474996643E0,5.357359314E-1,1.695224762E0
2.073771917E0,9.520951080E0,4.996609497E-1,1.700314178E0
2.083725917E0,9.589807892E0,4.611909485E-1,1.672023010E0
2.093680917E0,9.619745636E0,4.528083801E-1,1.683399353E0
2.103634917E0,9.664352875E0,4.334985352E-1,1.714833984E0
2.113588917E0,9.735005951E0,4.471202087E-1,1.783092041E0
2.123542917E0,9.775571594E0,4.564009094E-1,1.864223328E0
2.133497917E0,9.770332489E0,4.748126221E-1,1.896556091E0
2.143451917E0,9.723779297E0,4.809498596E-1,1.839973755E0
2.153405917E0,9.691895599E0,4.852908325E-1,1.744771729E0
2.163360917E0,9.679022369E0,4.945715332E-1,1.731898499E0
2.173314917E0,9.655970306E0,4.623884583E-1,1.775457916E0
2.183268917E0,9.634415131E0,4.291575623E-1,1.787732391E0
2.193223917E0,9.671088867E0,4.246669006E-1,1.764979706E0
2.203177917E0,9.699829102E0,3.996688843E-1,1.717678070E0
2.213131917E0,9.681866455E0,3.820056152E-1,1.681154022E0
2.223085917E0,9.636510773E0,3.727249146E-1,1.675016785E0
2.233040917E0,9.582173767E0,4.388873291E-1,1.599423981E0
2.242994917E0,9.539362793E0,5.614823914E-1,1.465302887E0
2.252948917E0,9.497599640E0,6.345304871E-1,1.333427124E0
2.262903917E0,9.511071625E0,6.962022400E-1,1.253643036E0
2.272857917E0,9.514514465E0,7.801776123E-1,1.283580780E0
2.282811917E0,9.476493530E0,8.845106506E-1,1.502575378E0
2.292765917E0,9.443412323E0,9.651928711E-1,1.808239746E0
2.302720917E0,9.462422791E0,9.848020935E-1,1.947599945E0
2.312674917E0,9.397008820E0,9.680369568E-1,1.923649750E0
2.322628917E0,9.296268311E0,9.154962158E-1,1.849404144E0
2.332583917E0,9.286089478E0,8.888516235E-1,1.976639557E0
2.342537917E0,9.312285004E0,8.750802612E-1,2.311792603E0
2.352491917E0,9.326804810E0,8.538244629E-1,2.608625336E0
2.362446917E0,9.675729218E0,8.102650452E-1,2.617906036E0
2.372400917E0,9.910291443E0,8.777746582E-1,2.561024323E0
2.382354917E0,9.611363068E0,9.867480469E-1,2.567460938E0
2.392308917E0,9.385183411E0,8.888516235E-1,2.739004211E0
2.402263917E0,9.313781891E0,7.467970276E-1,2.817740479E0
2.412217917E0,9.077423401E0,4.688250732E-1,2.652484131E0
2.422171917E0,9.122030640E0,1.456471252E-1,2.479893036E0
2.432126917E0,9.378597107E0,-9.729766846E-2,2.507136383E0
2.442080917E0,9.591304779E0,-1.969903564E-1,2.921325073E0
2.452034917E0,9.651329956E0,-3.384461975E-1,3.202739868E0
2.461989917E0,9.744885406E0,-5.195695496E-1,3.127596130E0
2.471943917E0,9.982142029E0,-4.656816101E-1,2.998414764E0
2.481897917E0,9.941426697E0,-2.613565063E-1,2.956052856E0
2.491851917E0,9.672436066E0,-3.472778320E-2,3.156036987E0
2.501806917E0,9.540560303E0,3.046165466E-1,3.240012360E0
2.511760917E0,9.471104736E0,5.713618469E-1,3.127596130E0
2.521714917E0,9.285041656E0,7.929011536E-1,2.865042114E0
2.531669917E0,9.125772858E0,1.002465363E0,2.637515259E0
2.541623917E0,8.961414642E0,1.186732178E0,2.540666656E0
2.551577917E0,8.777297516E0,1.286724243E0,2.558329926E0
2.561532917E0,8.658294983E0,1.304237823E0,2.661166077E0
2.571486917E0,8.627010040E0,1.263821869E0,2.812800751E0
2.581440917E0,8.598419495E0,1.236279144E0,3.008443909E0
2.591394917E0,8.623567200E0,1.211580505E0,3.079096985E0
2.601349917E0,8.703500977E0,1.181044006E0,2.999761963E0
2.611303917E0,8.796008606E0,1.155447235E0,3.048111420E0
2.621257917E0,8.835676117E0,1.110091553E0,3.153492279E0
2.631212917E0,8.874894562E0,1.011147308E0,3.135978699E0
2.641166917E0,8.933871918E0,8.912466431E-1,3.152294769E0
2.651120917E0,9.071435852E0,8.195457458E-1,3.141217804E0
2.661075917E0,9.200317841E0,7.461982727E-1,3.154689789E0
2.671029917E0,9.292825470E0,6.987469482E-1,3.186573486E0
2.680983917E0,9.275760956E0,6.225553894E-1,3.226839752E0
2.690937917E0,9.170679474E0,5.559439087E-1,3.178340607E0
2.700892917E0,9.075028381E0,5.104385376E-1,3.052153015E0
2.710846917E0,8.998387756E0,4.466711426E-1,2.994822235E0
2.720800917E0,8.959319000E0,4.328997803E-1,3.010988617E0
2.730755917E0,9.000483398E0,4.230203247E-1,3.029100952E0
2.740709917E0,8.942703552E0,3.917353821E-1,3.101550293E0
2.750663917E0,8.902437286E0,4.251159668E-1,3.159928894E0
