"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.366406918E-2,3.564351056E1,1.397937966E2,2.048026800E0,NaN,NaN,3.903650798E2,3.363681412E1
7.634103298E-2,3.564351056E1,1.397937966E2,2.048026800E0,NaN,NaN,3.903650870E2,3.363681412E1
4.182813048E0,3.564350766E1,1.397937921E2,2.048026800E0,NaN,NaN,4.073999584E2,3.363681412E1
1.033428705E1,3.564350367E1,1.397937860E2,2.048026800E0,NaN,NaN,4.470422525E2,3.363681412E1
2.604735506E1,3.564351614E1,1.397938328E2,5.957580328E0,NaN,NaN,3.500000000E1,2.259248352E1
3.352068102E1,3.564351632E1,1.397938329E2,5.958395958E0,NaN,NaN,3.500000000E1,2.170568085E1
4.244306409E1,3.564352259E1,1.397938182E2,5.956055641E0,NaN,NaN,3.500000000E1,2.197590828E1
5.851214099E1,3.564352280E1,1.397938180E2,5.956124544E0,NaN,NaN,3.500000000E1,2.375058365E1
7.170718205E1,3.564352474E1,1.397938396E2,5.955180168E0,NaN,NaN,3.500000000E1,2.277859116E1
8.168842506E1,3.564352492E1,1.397938408E2,5.955389500E0,NaN,NaN,3.500000000E1,2.250221443E1
8.978190303E1,3.564352199E1,1.397938344E2,5.955223322E0,NaN,NaN,3.500000000E1,2.188777733E1
9.702466309E1,3.564353338E1,1.397938328E2,5.955873728E0,NaN,NaN,3.500000000E1,2.145708466E1
1.052107381E2,3.564352867E1,1.397938301E2,5.958101988E0,NaN,NaN,3.500000000E1,2.168261147E1
1.127093550E2,3.564352482E1,1.397938403E2,5.959438562E0,NaN,NaN,3.500000000E1,2.149821663E1
1.437130151E2,3.564352201E1,1.397938344E2,5.956838608E0,NaN,NaN,3.500000000E1,2.557375526E1
1.539457490E2,3.564352201E1,1.397938344E2,5.958768845E0,NaN,NaN,8.773361570E1,3.163225365E1
1.626591190E2,3.564352201E1,1.397938344E2,2.054437637E0,NaN,NaN,1.983488246E2,3.163225365E1
1.876260620E2,3.564353380E1,1.397938326E2,5.956667662E0,NaN,NaN,3.500000000E1,2.191612053E1
2.218073500E2,3.564354083E1,1.397938292E2,5.957082987E0,NaN,NaN,3.500000000E1,2.335035706E1
2.310232880E2,3.564352117E1,1.397938268E2,5.940177679E0,NaN,NaN,3.500000000E1,2.165666771E1
2.418569911E2,3.564352726E1,1.397938299E2,5.935405731E0,NaN,NaN,3.500000000E1,2.035353088E1
2.502173960E2,3.564352035E1,1.397938323E2,5.934030771E0,NaN,NaN,3.500000000E1,2.149427795E1
2.575392311E2,3.564352459E1,1.397938403E2,5.933644533E0,NaN,NaN,3.500000000E1,2.138977432E1
2.662284651E2,3.564352477E1,1.397938263E2,5.947500467E0,NaN,NaN,3.500000000E1,2.183395195E1
2.737231990E2,3.564352499E1,1.397938395E2,5.952883720E0,NaN,NaN,3.500000000E1,2.153295135E1
2.994495411E2,3.564353942E1,1.397938303E2,5.958327055E0,NaN,NaN,3.500000000E1,2.264735603E1
3.135390121E2,3.564352475E1,1.397938261E2,5.957368135E0,NaN,NaN,3.500000000E1,2.345318413E1
3.212672690E2,3.564351979E1,1.397938321E2,5.958763838E0,NaN,NaN,3.500000000E1,2.169262695E1
3.384174241E2,3.564352206E1,1.397938197E2,5.959022284E0,NaN,NaN,3.500000000E1,2.078817749E1
3.456158561E2,3.564352703E1,1.397938219E2,5.959003210E0,NaN,NaN,3.500000000E1,2.092177582E1
3.560226411E2,3.564352245E1,1.397938185E2,5.952687502E0,NaN,NaN,3.500000000E1,2.226564598E1
3.639794841E2,3.564352170E1,1.397938343E2,5.955694914E0,NaN,NaN,3.500000000E1,2.178996468E1
3.881229661E2,3.564351343E1,1.397938325E2,5.946940184E0,NaN,NaN,3.500000000E1,2.480451965E1
3.967050101E2,3.564352174E1,1.397938235E2,5.939213037E0,NaN,NaN,3.500000000E1,2.241678047E1
4.039047110E2,3.564352459E1,1.397938260E2,5.934290409E0,NaN,NaN,3.500000000E1,2.157048225E1
4.121520821E2,3.564350458E1,1.397938128E2,5.935772181E0,NaN,NaN,3.500000000E1,2.172865295E1
4.181694410E2,3.564352451E1,1.397938375E2,5.930673361E0,NaN,NaN,3.500000000E1,2.095355034E1
4.423170511E2,3.564352237E1,1.397938352E2,5.925074577E0,NaN,NaN,3.500000000E1,2.344982910E1
4.753972460E2,3.564352185E1,1.397938371E2,5.951653481E0,NaN,NaN,3.500000000E1,2.447173119E1
4.841967380E2,3.564352461E1,1.397938403E2,5.958787918E0,NaN,NaN,3.500000000E1,2.151851082E1
5.089374731E2,3.564352455E1,1.397938260E2,5.958095074E0,NaN,NaN,3.500000000E1,2.446232033E1
5.170251211E2,3.564352202E1,1.397938368E2,5.956985474E0,NaN,NaN,3.500000000E1,2.232077980E1
5.264337001E2,3.564351971E1,1.397938329E2,5.957638025E0,NaN,NaN,3.500000000E1,2.225026131E1
5.347790071E2,3.564352803E1,1.397938299E2,5.957326412E0,NaN,NaN,3.500000000E1,2.191189575E1
5.429519280E2,3.564353396E1,1.397938321E2,5.957624435E0,NaN,NaN,3.500000000E1,2.178073883E1
5.535885911E2,3.564352458E1,1.397938452E2,5.964330673E0,NaN,NaN,3.500000000E1,2.240341949E1
5.608500631E2,3.564352170E1,1.397938378E2,5.968943357E0,NaN,NaN,3.500000000E1,2.158858299E1
5.690893761E2,3.564353372E1,1.397938323E2,5.971592903E0,NaN,NaN,3.500000000E1,2.173003387E1
5.764128190E2,3.564352860E1,1.397938302E2,5.973532438E0,NaN,NaN,3.500000000E1,2.144753075E1
5.845062430E2,3.564353357E1,1.397938326E2,5.969729424E0,NaN,NaN,3.500000000E1,2.164912415E1
6.012030411E2,3.564353407E1,1.397938329E2,5.967363119E0,NaN,NaN,3.500000000E1,2.382566452E1
6.163494921E2,3.564352180E1,1.397938374E2,5.967652321E0,NaN,NaN,3.500000000E1,2.382496452E1
6.245795641E2,3.564352469E1,1.397938406E2,5.967680693E0,NaN,NaN,3.500000000E1,2.222281075E1
6.517269380E2,3.564352819E1,1.397938270E2,5.962495565E0,NaN,NaN,3.500000000E1,2.529084015E1
6.610625560E2,3.564351491E1,1.397938287E2,5.951508045E0,NaN,NaN,3.500000000E1,2.172492409E1
6.683771391E2,3.564353074E1,1.397938319E2,5.946056128E0,NaN,NaN,3.500000000E1,2.066429901E1
6.902407750E2,3.564351380E1,1.397938306E2,5.939399958E0,NaN,NaN,3.500000000E1,2.260237694E1
7.006560360E2,3.564351380E1,1.397938306E2,5.941326380E0,NaN,NaN,1.109394809E2,3.162681007E1
7.042200841E2,3.564351322E1,1.397938326E2,5.937224865E0,NaN,NaN,3.500000000E1,2.214090919E1
