"Time (s)","X (hPa)"
-5.690904584E-1,1.008584137E3
4.384465416E-1,1.008593903E3
1.445954542E0,1.008603592E3
2.453526542E0,1.008608017E3
3.461066542E0,1.008618469E3
3.809981542E0,1.008621292E3
4.884659542E0,1.008625336E3
5.959301542E0,1.008629074E3
7.033968542E0,1.008635178E3
8.108644542E0,1.008637924E3
9.183367542E0,1.008640671E3
1.025806554E1,1.008641586E3
1.133274754E1,1.008641586E3
1.240739654E1,1.008640747E3
1.348207054E1,1.008640671E3
1.455680954E1,1.008640671E3
1.563151754E1,1.008640671E3
1.670626054E1,1.008642044E3
1.778094054E1,1.008642197E3
1.885567654E1,1.008643723E3
1.993045654E1,1.008644867E3
2.100517054E1,1.008645935E3
2.207991854E1,1.008646164E3
2.315461054E1,1.008646164E3
2.422926254E1,1.008644562E3
2.530397954E1,1.008643875E3
2.637867754E1,1.008643265E3
2.745332754E1,1.008643265E3
2.852806654E1,1.008643265E3
2.960280254E1,1.008645554E3
3.067755654E1,1.008647690E3
3.175224454E1,1.008649597E3
3.282695254E1,1.008652267E3
3.390165354E1,1.008654861E3
3.497637254E1,1.008657990E3
3.605102854E1,1.008660736E3
3.712566954E1,1.008662415E3
3.820036254E1,1.008662872E3
3.927510054E1,1.008664780E3
4.034977354E1,1.008664780E3
4.142446354E1,1.008664780E3
4.249911954E1,1.008665161E3
4.357382154E1,1.008664780E3
4.464851154E1,1.008664780E3
4.572317754E1,1.008663788E3
4.679790554E1,1.008661957E3
4.787257254E1,1.008661194E3
4.894723754E1,1.008658142E3
5.002184954E1,1.008656311E3
5.109652154E1,1.008655853E3
5.217124754E1,1.008655014E3
5.324602754E1,1.008655014E3
5.432076254E1,1.008656540E3
5.539550954E1,1.008656921E3
5.647019154E1,1.008656921E3
5.754490754E1,1.008656921E3
5.861959254E1,1.008656693E3
5.969432854E1,1.008653183E3
6.076907654E1,1.008652725E3
6.184382454E1,1.008651657E3
6.291848354E1,1.008650131E3
6.399320254E1,1.008650131E3
6.506790954E1,1.008650131E3
6.614259854E1,1.008649139E3
6.721728654E1,1.008644714E3
6.829196054E1,1.008640060E3
6.936668954E1,1.008632736E3
7.044136354E1,1.008625717E3
7.151601954E1,1.008620987E3
7.259073554E1,1.008615875E3
7.366544554E1,1.008615875E3
7.474017154E1,1.008616028E3
7.581487554E1,1.008617783E3
7.688957954E1,1.008620300E3
7.796432254E1,1.008626022E3
7.903907054E1,1.008632126E3
8.011376554E1,1.008637924E3
8.118851854E1,1.008642349E3
8.226323454E1,1.008646851E3
8.333800254E1,1.008649826E3
8.441279454E1,1.008652267E3
8.548753854E1,1.008653183E3
8.656230554E1,1.008653183E3
8.763700954E1,1.008653183E3
8.871177454E1,1.008653183E3
8.978652154E1,1.008653183E3
9.086124654E1,1.008651199E3
9.193600054E1,1.008649750E3
9.301072754E1,1.008647537E3
9.408536054E1,1.008647079E3
9.516007454E1,1.008647079E3
9.623479654E1,1.008648071E3
9.730952054E1,1.008650818E3
9.838424854E1,1.008653336E3
9.945895554E1,1.008656235E3
1.005336405E2,1.008657150E3
1.016084045E2,1.008657303E3
1.026831435E2,1.008657761E3
1.037578185E2,1.008659897E3
1.048325205E2,1.008660660E3
1.059071785E2,1.008662033E3
1.069818565E2,1.008662872E3
1.080566155E2,1.008662872E3
1.091314105E2,1.008661575E3
1.102061575E2,1.008658981E3
1.112808335E2,1.008656540E3
1.123555635E2,1.008651810E3
1.134303025E2,1.008645782E3
1.145050115E2,1.008640289E3
1.155798005E2,1.008634567E3
1.166545505E2,1.008629303E3
1.177292825E2,1.008625793E3
1.188039945E2,1.008623276E3
1.198787375E2,1.008623276E3
1.209534615E2,1.008623276E3
1.220282685E2,1.008627472E3
1.231029995E2,1.008631439E3
1.241777415E2,1.008636703E3
1.252524765E2,1.008641586E3
1.263271885E2,1.008646851E3
1.274018775E2,1.008650208E3
1.284765625E2,1.008652267E3
1.295513065E2,1.008653336E3
1.306260675E2,1.008653564E3
1.317008155E2,1.008653336E3
1.327755425E2,1.008651199E3
1.338502365E2,1.008649368E3
1.349249895E2,1.008646851E3
1.359997075E2,1.008646240E3
1.370743945E2,1.008646240E3
1.381491225E2,1.008647385E3
1.392238605E2,1.008649139E3
1.402986355E2,1.008652115E3
1.413734185E2,1.008652878E3
1.424481795E2,1.008652878E3
1.435229285E2,1.008652267E3
1.445976675E2,1.008650360E3
1.456723255E2,1.008648987E3
1.467470275E2,1.008646164E3
1.478217325E2,1.008644867E3
1.488964535E2,1.008642197E3
1.499711765E2,1.008641281E3
1.510458995E2,1.008639908E3
1.521206385E2,1.008637085E3
1.531952995E2,1.008636093E3
1.542700435E2,1.008636093E3
1.553447175E2,1.008636475E3
1.564194155E2,1.008637543E3
1.574941275E2,1.008639297E3
1.585688075E2,1.008640442E3
1.596434795E2,1.008640442E3
1.607181775E2,1.008639832E3
1.617928995E2,1.008639832E3
1.628675985E2,1.008639603E3
1.639423685E2,1.008638000E3
1.650170975E2,1.008637619E3
1.660918585E2,1.008634338E3
1.671665955E2,1.008632507E3
1.682413845E2,1.008629761E3
1.693160775E2,1.008627853E3
1.703908155E2,1.008627853E3
1.714655145E2,1.008627701E3
1.725402125E2,1.008628082E3
1.736149245E2,1.008629608E3
1.746896385E2,1.008631287E3
1.757644375E2,1.008631821E3
1.768391985E2,1.008633728E3
1.779140115E2,1.008634872E3
1.789888295E2,1.008634872E3
1.800636645E2,1.008634567E3
1.811383585E2,1.008634491E3
1.822130015E2,1.008633575E3
1.832877095E2,1.008633575E3
1.843623625E2,1.008635254E3
1.854370605E2,1.008635254E3
1.865118545E2,1.008635254E3
1.875866705E2,1.008635025E3
1.886614405E2,1.008634644E3
1.897362035E2,1.008634338E3
1.908110095E2,1.008634338E3
1.918857875E2,1.008634796E3
1.929605495E2,1.008634872E3
1.940352625E2,1.008635025E3
1.951100065E2,1.008635025E3
1.961847365E2,1.008635025E3
1.972594085E2,1.008634567E3
1.983341075E2,1.008633728E3
1.994088345E2,1.008633347E3
2.004835105E2,1.008632507E3
2.015581515E2,1.008632355E3
2.026328045E2,1.008631821E3
2.037074715E2,1.008631439E3
2.047821375E2,1.008630829E3
2.058567835E2,1.008630829E3
2.069314065E2,1.008631897E3
2.080061115E2,1.008632050E3
2.090807875E2,1.008632126E3
2.101554325E2,1.008632050E3
2.112301215E2,1.008631897E3
2.123048205E2,1.008629608E3
2.133795575E2,1.008626251E3
2.144543415E2,1.008624115E3
2.155291465E2,1.008621979E3
2.166039545E2,1.008618851E3
2.176787155E2,1.008616028E3
2.187535355E2,1.008615265E3
