"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.715512180E2,3.564352427E1,1.397938266E2,5.963528156E0,NaN,NaN,3.500000000E1,2.165735245E1
6.788720189E2,3.564350987E1,1.397938161E2,5.951196432E0,NaN,NaN,3.500000000E1,2.142897415E1
6.870019670E2,3.564352414E1,1.397938401E2,5.941956043E0,NaN,NaN,3.500000000E1,2.165729332E1
6.943196340E2,3.564352237E1,1.397938381E2,5.939791441E0,NaN,NaN,3.500000000E1,2.142783737E1
7.023952870E2,3.564352776E1,1.397938234E2,5.938214302E0,NaN,NaN,3.500000000E1,2.163859749E1
7.096403750E2,3.564351352E1,1.397938296E2,5.929669142E0,NaN,NaN,3.500000000E1,2.139718819E1
7.323060200E2,3.564351972E1,1.397938327E2,5.924079657E0,NaN,NaN,3.500000000E1,2.473021889E1
7.405362320E2,3.564351988E1,1.397938328E2,5.943473101E0,NaN,NaN,3.500000000E1,2.241904068E1
7.477458739E2,3.564352450E1,1.397938407E2,5.953149796E0,NaN,NaN,3.500000000E1,2.157447052E1
7.705843890E2,3.564352820E1,1.397938306E2,5.963681936E0,NaN,NaN,3.500000000E1,2.476872444E1
7.786728979E2,3.564352799E1,1.397938305E2,5.961879492E0,NaN,NaN,3.500000000E1,2.238776398E1
7.859204270E2,3.564353937E1,1.397938606E2,5.961566925E0,NaN,NaN,3.500000000E1,2.157999611E1
8.162889249E2,3.564353237E1,1.397938626E2,5.965279102E0,NaN,NaN,3.500000000E1,2.559753609E1
8.245393890E2,3.564353229E1,1.397938631E2,5.969829559E0,NaN,NaN,3.500000000E1,2.260944366E1
8.320678910E2,3.564354661E1,1.397938706E2,5.968884945E0,NaN,NaN,3.500000000E1,2.172809982E1
8.455573189E2,3.564357155E1,1.397938834E2,2.066449642E0,NaN,NaN,2.376228673E2,3.291081238E1
8.455614120E2,3.564357156E1,1.397938835E2,2.066449642E0,NaN,NaN,2.376228894E2,3.291081238E1
8.471922590E2,3.564350847E1,1.397938388E2,5.955295801E0,NaN,NaN,3.500000000E1,2.262686920E1
8.554435650E2,3.564352156E1,1.397938378E2,5.951224327E0,NaN,NaN,3.500000000E1,2.196558380E1
8.647436570E2,3.564353108E1,1.397938477E2,5.946506739E0,NaN,NaN,3.500000000E1,2.214569473E1
9.080421569E2,3.564352194E1,1.397938345E2,5.953522682E0,NaN,NaN,3.500000000E1,2.655862236E1
9.232584419E2,3.564353691E1,1.397938702E2,5.955644131E0,NaN,NaN,3.500000000E1,2.420639229E1
9.384797570E2,3.564352203E1,1.397938347E2,5.955569267E0,NaN,NaN,3.500000000E1,2.389031219E1
9.467188820E2,3.564352461E1,1.397938402E2,5.958218575E0,NaN,NaN,3.500000000E1,2.223971558E1
9.540441500E2,3.564352490E1,1.397938411E2,5.957185268E0,NaN,NaN,3.500000000E1,2.157118034E1
9.691203669E2,3.564352938E1,1.397938613E2,5.958161354E0,NaN,NaN,3.500000000E1,2.350296593E1
9.790237190E2,3.564353163E1,1.397938632E2,5.966887474E0,NaN,NaN,3.500000000E1,2.245115280E1
1.013925275E3,3.564349080E1,1.397940194E2,2.064467430E0,NaN,NaN,7.573610784E2,5.216911316E1
1.020108009E3,3.564343674E1,1.397941846E2,2.064467430E0,NaN,NaN,7.822901617E2,5.216911316E1
1.038276660E3,3.564352470E1,1.397938412E2,5.967360020E0,NaN,NaN,3.500000000E1,2.653585625E1
1.056279952E3,3.564351752E1,1.397938433E2,5.973197699E0,NaN,NaN,3.500000000E1,2.461979675E1
1.065200281E3,3.564352575E1,1.397938600E2,5.964566946E0,NaN,NaN,3.500000000E1,2.258364868E1
1.072695492E3,3.564353273E1,1.397938628E2,5.961413145E0,NaN,NaN,3.500000000E1,2.171091652E1
1.080940524E3,3.564353411E1,1.397938333E2,5.960906506E0,NaN,NaN,3.500000000E1,2.175936699E1
1.086955273E3,3.564352818E1,1.397938228E2,5.953076839E0,NaN,NaN,3.500000000E1,2.096085930E1
1.086968920E3,3.564352795E1,1.397938233E2,5.950389624E0,NaN,NaN,3.500000000E1,1.719379425E1
