"Time (s)","X (hPa)"
-5.522524584E-1,1.008700104E3
4.553885416E-1,1.008714142E3
1.462946542E0,1.008728256E3
2.470606542E0,1.008737869E3
3.478204542E0,1.008743591E3
3.827057542E0,1.008749771E3
4.901863542E0,1.008755493E3
5.976698542E0,1.008757935E3
7.051519542E0,1.008761597E3
8.126338542E0,1.008766022E3
9.201146542E0,1.008768768E3
1.027591854E1,1.008770752E3
1.135071154E1,1.008771820E3
1.242551254E1,1.008771820E3
1.350030954E1,1.008770752E3
1.457511754E1,1.008770752E3
1.564990654E1,1.008769608E3
1.672473754E1,1.008766403E3
1.779956054E1,1.008765945E3
1.887442754E1,1.008764725E3
1.994919254E1,1.008764343E3
2.102396454E1,1.008761139E3
2.209872554E1,1.008759689E3
2.317349854E1,1.008756256E3
2.424838754E1,1.008752670E3
2.532327554E1,1.008747864E3
2.639810654E1,1.008747406E3
2.747296854E1,1.008747406E3
2.854790254E1,1.008748550E3
2.962274254E1,1.008751221E3
3.069754254E1,1.008754120E3
3.177234454E1,1.008757172E3
3.284715954E1,1.008759384E3
3.392201754E1,1.008760071E3
3.499684954E1,1.008760757E3
3.607160854E1,1.008762131E3
3.714641254E1,1.008762665E3
3.822117454E1,1.008762131E3
3.929597454E1,1.008761978E3
4.037082254E1,1.008761520E3
4.144572354E1,1.008761520E3
4.252048354E1,1.008761597E3
4.359528554E1,1.008762970E3
4.467006154E1,1.008762970E3
4.574490254E1,1.008762131E3
4.681973854E1,1.008759003E3
4.789460554E1,1.008755188E3
4.896943854E1,1.008741150E3
5.004431454E1,1.008737488E3
5.111911854E1,1.008737488E3
5.219389554E1,1.008737717E3
5.326869454E1,1.008740692E3
5.434352754E1,1.008752518E3
5.541834754E1,1.008758774E3
5.649314954E1,1.008760681E3
5.756793954E1,1.008763275E3
5.864269454E1,1.008764038E3
5.971743054E1,1.008764038E3
6.079215854E1,1.008765182E3
6.186697254E1,1.008764496E3
6.294177254E1,1.008765182E3
6.401654554E1,1.008764954E3
6.509128254E1,1.008764954E3
6.616606654E1,1.008762436E3
6.724079254E1,1.008760452E3
6.831553654E1,1.008757553E3
6.939029754E1,1.008752441E3
7.046506054E1,1.008747253E3
7.153980654E1,1.008741608E3
7.261458354E1,1.008734589E3
7.368940454E1,1.008731461E3
7.476423654E1,1.008731461E3
7.583908354E1,1.008735275E3
7.691391154E1,1.008740692E3
7.798870454E1,1.008748932E3
7.906351454E1,1.008754425E3
8.013831754E1,1.008758545E3
8.121315454E1,1.008758545E3
8.228794054E1,1.008760681E3
8.336274754E1,1.008761597E3
8.443755954E1,1.008761749E3
8.551243154E1,1.008761826E3
8.658727054E1,1.008765564E3
8.766208454E1,1.008767395E3
8.873686154E1,1.008767853E3
8.981165854E1,1.008769913E3
9.088647054E1,1.008771667E3
9.196125054E1,1.008771667E3
9.303610954E1,1.008769913E3
9.411098454E1,1.008768692E3
9.518591654E1,1.008766861E3
9.626074254E1,1.008766632E3
9.733560254E1,1.008766022E3
9.841037954E1,1.008763046E3
9.948520054E1,1.008761292E3
1.005599805E2,1.008757553E3
1.016348175E2,1.008755035E3
1.027096285E2,1.008753586E3
1.037843735E2,1.008752136E3
1.048591715E2,1.008750763E3
1.059339655E2,1.008750763E3
1.070087675E2,1.008750763E3
1.080836175E2,1.008750992E3
1.091584705E2,1.008754425E3
1.102333325E2,1.008758011E3
1.113081355E2,1.008760757E3
1.123829035E2,1.008763504E3
1.134576205E2,1.008764954E3
1.145324255E2,1.008767624E3
1.156072295E2,1.008770370E3
1.166820545E2,1.008771057E3
1.177569155E2,1.008775406E3
1.188317675E2,1.008777618E3
1.199065605E2,1.008777618E3
1.209813575E2,1.008777161E3
