"Time (s)","Illuminance (lx)"
0.000000000E0,2.175533691E3
6.366057600E-1,5.306497559E3
3.364099901E0,1.082280859E4
3.763262255E0,9.960245117E3
3.962850389E0,9.003008789E3
6.757093798E0,9.720944336E3
1.553979424E1,1.261600195E4
1.740275859E1,1.162959863E4
2.591880205E1,9.842986328E3
2.651749712E1,1.078190820E4
