"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.631594469E0,7.626378536E-2,-9.503340721E-2,-2.236175537E-2
1.649479722E0,7.491683960E-2,-1.093958467E-1,-1.543331146E-2
1.667383531E0,7.610380650E-2,-1.070364714E-1,-1.524257660E-2
1.685278063E0,7.971966267E-2,-1.026286110E-1,-1.670265198E-2
1.703170091E0,7.752525806E-2,-1.040181518E-1,-2.154159546E-2
1.721066820E0,7.457888126E-2,-1.053577885E-1,-1.802825928E-2
1.738961473E0,7.893025875E-2,-1.135346591E-1,-1.736450195E-2
1.756856004E0,7.774436474E-2,-1.086849719E-1,-1.848602295E-2
1.774750291E0,7.529377937E-2,-1.091006473E-1,-1.742267609E-2
1.792645067E0,8.003604412E-2,-1.078196317E-1,-1.270580292E-2
1.810539842E0,7.148313522E-2,-1.066369712E-1,-1.971435547E-2
1.828434007E0,7.412588596E-2,-1.067410409E-1,-2.070903778E-2
1.846328355E0,7.981574535E-2,-1.007300168E-1,-1.872062683E-2
1.864223131E0,8.119976521E-2,-1.070210934E-1,-1.383781433E-2
1.882117235E0,7.316422462E-2,-1.115322709E-1,-2.009296417E-2
1.900011949E0,7.928860188E-2,-9.691475332E-2,-1.578903198E-2
1.917906480E0,8.175265789E-2,-1.072246879E-1,-2.084541321E-2
1.935801012E0,7.667267323E-2,-1.045195833E-1,-1.252460480E-2
1.953695360E0,7.555699348E-2,-1.071829945E-1,-7.366180420E-3
1.971577806E0,7.677304745E-2,-1.029222757E-1,-2.518463135E-2
1.989484178E0,7.596898079E-2,-1.008642614E-1,-2.064132690E-2
2.007378893E0,7.050645351E-2,-1.081437543E-1,-1.336002350E-2
2.025273485E0,7.484602928E-2,-1.036471426E-1,-2.120780945E-2
2.043170152E0,7.648181915E-2,-9.986791015E-2,-1.883792877E-2
2.061062364E0,7.295107841E-2,-1.103093177E-1,-2.109050751E-2
2.078953478E0,7.229268551E-2,-1.073410586E-1,-2.236652374E-2
2.096854113E0,7.084858418E-2,-1.067632586E-1,-2.396297455E-2
2.114745531E0,7.874488831E-2,-1.057825536E-1,-2.573013306E-2
2.132640428E0,7.808411121E-2,-1.143465713E-1,-2.309513092E-2
2.150534837E0,7.620215416E-2,-1.112348735E-1,-1.293754578E-2
2.168425646E0,7.748818398E-2,-1.070988849E-1,-2.104187012E-2
2.186323900E0,7.313561440E-2,-1.098751575E-1,-2.108383179E-2
2.204218492E0,7.808148861E-2,-1.059948578E-1,-2.127933502E-2
2.222112779E0,7.206892967E-2,-1.091299281E-1,-8.591651917E-3
2.240007372E0,7.406997681E-2,-1.026770622E-1,-2.016830444E-2
2.257901903E0,7.093834877E-2,-1.052688956E-1,-2.142333984E-2
2.275796678E0,7.576274872E-2,-1.035147533E-1,-2.386093140E-2
2.293690721E0,7.933461666E-2,-1.030924693E-1,-1.664924622E-2
2.311585252E0,7.692551613E-2,-1.017419621E-1,-2.087306976E-2
2.329479662E0,7.505679131E-2,-1.099398658E-1,-2.178001404E-2
2.347362047E0,8.281254768E-2,-1.020261869E-1,-2.075290680E-2
2.365268724E0,7.606434822E-2,-1.094384268E-1,-1.816654205E-2
2.383163377E0,7.237231731E-2,-1.105169207E-1,-2.370548248E-2
2.401057604E0,7.693088055E-2,-1.115179732E-1,-2.095603943E-2
2.418952379E0,6.972467899E-2,-1.102993712E-1,-1.722049713E-2
2.436834703E0,7.479345798E-2,-1.011347994E-1,-1.618099213E-2
2.454741014E0,7.146441936E-2,-1.005584151E-1,-1.449680328E-2
2.472635729E0,7.175767422E-2,-1.032725424E-1,-1.910305023E-2
2.490530565E0,7.580757141E-2,-1.090604663E-1,-2.164268494E-2
2.508424791E0,7.517039776E-2,-1.052438766E-1,-2.317714691E-2
2.526319322E0,7.310628891E-2,-1.011306718E-1,-1.369762421E-2
2.544211229E0,6.557166576E-2,-1.019118801E-1,-1.822757721E-2
2.562108263E0,6.778907776E-2,-1.067169830E-1,-1.919841766E-2
2.580002733E0,7.265782356E-2,-1.026587337E-1,-2.234840393E-2
2.597900376E0,7.888257504E-2,-1.062216610E-1,-1.660919189E-2
2.615791673E0,7.726836205E-2,-9.840101004E-2,-1.525115967E-2
2.633683091E0,6.607675552E-2,-1.067726240E-1,-7.613182068E-3
2.651580553E0,7.449769974E-2,-1.069369465E-1,-7.602691650E-3
2.669463426E0,7.537221909E-2,-1.002771556E-1,-2.654457092E-2
2.687372545E0,7.934784889E-2,-1.044420972E-1,-1.959037781E-2
2.705263963E0,7.059550285E-2,-1.016914472E-1,-1.480770111E-2
2.723158617E0,7.348871231E-2,-1.066144705E-1,-1.910495758E-2
2.741052965E0,7.444870472E-2,-1.107996255E-1,-1.741504669E-2
2.758947801E0,7.396638393E-2,-1.023857519E-1,-1.345729828E-2
2.776842393E0,7.004356384E-2,-1.104470044E-1,-1.320266724E-2
2.794736498E0,7.483398914E-2,-1.091368496E-1,-1.143169403E-2
2.812618700E0,6.759238243E-2,-1.072503999E-1,-1.906681061E-2
2.830525560E0,6.963348389E-2,-1.075633839E-1,-1.983547211E-2
2.848420152E0,7.341432571E-2,-1.011922881E-1,-2.001285553E-2
2.866314684E0,7.363986969E-2,-1.031714827E-1,-2.092552185E-2
2.884209276E0,7.114171982E-2,-1.058674306E-1,-1.818180084E-2
2.902091295E0,7.258141041E-2,-1.014954224E-1,-1.545524597E-2
2.919998094E0,7.195854187E-2,-1.038703546E-1,-1.949405670E-2
2.937892320E0,6.692564487E-2,-1.015634537E-1,-5.453109741E-3
2.955787157E0,7.007277012E-2,-1.020511240E-1,-2.289295197E-2
2.973681383E0,7.740688324E-2,-1.047704965E-1,-2.254009247E-2
2.991576219E0,6.966638565E-2,-1.012896448E-1,-2.550220490E-2
3.009467943E0,6.939375401E-2,-1.044113785E-1,-2.312850952E-2
3.027365038E0,6.844198704E-2,-1.056220978E-1,-1.659584045E-2
3.045259508E0,6.652200222E-2,-1.107236743E-1,-1.714229584E-2
3.063154161E0,6.897211075E-2,-1.061201990E-1,-2.065563202E-2
3.081048570E0,6.790196896E-2,-1.057674885E-1,-2.484416962E-2
3.098945726E0,7.094717026E-2,-1.034040973E-1,-2.073001862E-2
3.116837694E0,6.336522102E-2,-1.077911332E-1,-8.980751038E-3
3.134728807E0,6.814312935E-2,-1.106325835E-1,-1.736164093E-2
3.152626451E0,7.111954689E-2,-1.069834307E-1,-1.053714752E-2
3.170509081E0,6.953811646E-2,-1.053906679E-1,-2.028274536E-2
3.188415514E0,7.479250431E-2,-1.074729338E-1,-2.174854279E-2
3.206310045E0,7.365131378E-2,-9.737673402E-2,-1.956272125E-2
3.224204637E0,7.468736172E-2,-1.039767489E-1,-2.308940887E-2
3.242101610E0,6.696283817E-2,-1.021894440E-1,-1.725006104E-2
3.259993395E0,7.070767879E-2,-1.107394174E-1,-1.016044617E-2
3.277887743E0,6.915879250E-2,-1.034149975E-1,-1.874065399E-2
3.295782457E0,7.408881187E-2,-1.001522690E-1,-2.116298676E-2
3.313677538E0,6.847083569E-2,-9.634295851E-2,-2.431106567E-2
3.331571153E0,6.992030144E-2,-9.479802102E-2,-2.584266663E-2
3.349465807E0,6.969380379E-2,-1.011210978E-1,-1.410198212E-2
3.367348863E0,7.402384281E-2,-1.085309386E-1,-2.095127106E-2
3.385254686E0,7.370817661E-2,-9.812765568E-2,-1.913642883E-2
3.403149400E0,6.173110008E-2,-1.005161777E-1,-1.476764679E-2
3.421043810E0,6.297445297E-2,-1.004971787E-1,-1.952171326E-2
3.438938463E0,7.189893723E-2,-1.009445786E-1,-2.219581604E-2
3.456832811E0,6.501114368E-2,-1.005396023E-1,-2.135753632E-2
3.474726976E0,6.949555874E-2,-9.801123291E-2,-8.140563965E-3
3.492621813E0,7.038545609E-2,-1.042066365E-1,-2.253246307E-2
3.510519335E0,6.289970875E-2,-1.005104855E-1,-2.678012848E-2
3.528410936E0,6.592285633E-2,-1.001128480E-1,-2.686786652E-2
3.546305101E0,6.832599640E-2,-1.029554233E-1,-1.207447052E-2
3.564199021E0,7.032585144E-2,-1.035361663E-1,-1.710224152E-2
3.582094225E0,6.709516048E-2,-9.559722990E-2,-1.961231232E-2
3.599988756E0,6.294071674E-2,-9.656099975E-2,-2.081394196E-2
3.617883104E0,6.856501102E-2,-1.025265679E-1,-2.340698242E-2
3.635762864E0,6.833326817E-2,-9.882940352E-2,-3.269672394E-2
3.653670885E0,7.098436356E-2,-1.058012694E-1,-1.589202881E-2
3.671566637E0,7.515370846E-2,-1.015855372E-1,-1.449775696E-2
3.689460619E0,6.559360027E-2,-9.321009368E-2,-1.993942261E-2
3.707355699E0,6.671631336E-2,-9.926377237E-2,-2.217197418E-2
3.725249925E0,5.911910534E-2,-9.758327901E-2,-1.956081390E-2
3.743144273E0,6.776201725E-2,-9.931238741E-2,-2.169704437E-2
3.761038805E0,6.508064270E-2,-9.609279782E-2,-2.789688110E-2
3.778933580E0,7.111263275E-2,-1.032197475E-1,-2.473735809E-2
3.796827928E0,6.267154217E-2,-1.036129594E-1,-1.099205017E-2
3.814722215E0,7.447981834E-2,-9.777089208E-2,-1.641559601E-2
3.832618273E0,6.408095360E-2,-1.003969461E-1,-1.462650299E-2
3.850511339E0,6.741368771E-2,-9.454634041E-2,-2.587318420E-3
3.868405992E0,7.282018661E-2,-9.773153067E-2,-2.016162872E-2
3.886300279E0,6.481075287E-2,-9.976964444E-2,-1.736927032E-2
3.904194750E0,6.822943687E-2,-9.615653753E-2,-1.784610748E-2
3.922089403E0,7.519149780E-2,-9.982921928E-2,-2.360630035E-2
3.939983873E0,6.939661503E-2,-8.867137134E-2,-2.345371246E-2
3.957878526E0,6.683468819E-2,-9.423059970E-2,-2.875137329E-2
3.975772997E0,7.250738144E-2,-9.713321179E-2,-1.686668396E-2
3.993671190E0,7.056403160E-2,-9.145822376E-2,-2.199554443E-2
4.011561510E0,7.170546055E-2,-9.545759857E-2,-1.959228516E-2
4.029453172E0,6.398522854E-2,-9.285771847E-2,-1.935195923E-2
4.047355333E0,7.181131840E-2,-9.458987415E-2,-1.767635345E-2
4.065245470E0,6.692433357E-2,-9.650384635E-2,-1.431369781E-2
4.083139635E0,6.935322285E-2,-9.291616082E-2,-2.096843719E-2
4.101022325E0,6.877660751E-2,-8.834852278E-2,-1.657485962E-2
4.118928697E0,6.788742542E-2,-9.602065384E-2,-2.003479004E-2
4.136811327E0,7.226943970E-2,-8.941921592E-2,-2.896213531E-2
4.154717516E0,6.615102291E-2,-9.843550622E-2,-1.521682739E-2
4.172613695E0,6.663441658E-2,-9.980221093E-2,-1.923274994E-2
4.190494859E0,6.539475918E-2,-9.456859529E-2,-2.842998505E-2
4.208401109E0,6.592738628E-2,-9.875251353E-2,-2.300930023E-2
4.226295641E0,6.598663330E-2,-9.073600918E-2,-2.307796478E-2
4.244190233E0,7.140684128E-2,-8.793157339E-2,-2.410602570E-2
4.262084520E0,6.142246723E-2,-9.229432046E-2,-1.835918427E-2
4.279979051E0,7.330822945E-2,-9.818498790E-2,-2.024364471E-2
4.297870469E0,6.712019444E-2,-9.127358347E-2,-2.009010315E-2
4.315768114E0,7.621705532E-2,-9.479614347E-2,-1.052665710E-2
4.333650377E0,6.323027611E-2,-8.981071413E-2,-1.611232758E-2
4.351542161E0,6.795883179E-2,-9.896832705E-2,-2.272701263E-2
4.369437853E0,6.733071804E-2,-9.640081227E-2,-1.934623718E-2
