"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.764344166E-1,9.720486145E0,-7.259902954E-2,1.942809906E0
7.863894167E-1,9.671837311E0,-3.098556519E-2,1.951491852E0
7.963444167E-1,9.645043030E0,-6.735992432E-3,1.978884888E0
8.062994166E-1,9.607620850E0,3.442840576E-2,1.998194733E0
8.162544167E-1,9.605674896E0,2.664459229E-2,2.017354889E0
8.262094167E-1,9.622290344E0,-3.757186890E-2,2.000589752E0
8.361644167E-1,9.636810150E0,-6.676116943E-2,1.959874420E0
8.461194166E-1,9.663903809E0,-1.082249451E-1,1.944755859E0
8.560744167E-1,9.620643768E0,-1.419049072E-1,1.946252747E0
8.660294167E-1,9.541159058E0,-1.362167358E-1,1.973496094E0
8.759844166E-1,9.485474854E0,-1.498384094E-1,1.999691620E0
8.859394167E-1,9.467811584E0,-1.859133911E-1,1.993255005E0
8.958944167E-1,9.483379211E0,-2.251318359E-1,1.984123993E0
9.058494167E-1,9.500743103E0,-2.746788025E-1,2.006128235E0
9.158044166E-1,9.493258667E0,-2.853067017E-1,2.073937225E0
9.257604167E-1,9.502539368E0,-3.022215271E-1,2.173629913E0
9.357154167E-1,9.539961548E0,-2.951861572E-1,2.202669525E0
9.456704166E-1,9.579629059E0,-3.089575195E-1,2.082020416E0
9.556254167E-1,9.572444000E0,-2.950364685E-1,1.960024109E0
9.655804167E-1,9.544901276E0,-2.595602417E-1,1.977687378E0
9.755354167E-1,9.559421082E0,-2.495310974E-1,2.032174072E0
9.854904166E-1,9.568552094E0,-2.676434326E-1,2.054777069E0
9.954454167E-1,9.598040771E0,-3.397933960E-1,2.097288666E0
1.005400417E0,9.589059448E0,-4.005670166E-1,2.133213959E0
1.015355417E0,9.534722443E0,-4.384382629E-1,2.129771118E0
1.025310417E0,9.497000885E0,-4.644841003E-1,2.126178589E0
1.035265417E0,9.479936371E0,-5.051994324E-1,2.117646332E0
1.045220417E0,9.497000885E0,-5.457650757E-1,2.117197266E0
1.055174708E0,9.561816101E0,-5.081932068E-1,2.124082947E0
1.065130708E0,9.610914001E0,-3.757186890E-1,2.160008240E0
1.075085708E0,9.584568787E0,-2.824626160E-1,2.233355713E0
1.085040708E0,9.524693298E0,-2.329156494E-1,2.248474274E0
1.094995708E0,9.483528900E0,-2.154020691E-1,2.209405518E0
1.104950708E0,9.478888550E0,-2.330653381E-1,2.124232635E0
1.114905708E0,9.539362793E0,-2.606080627E-1,2.049238586E0
1.124860708E0,9.591454468E0,-3.290158081E-1,1.974094849E0
1.134815708E0,9.594747620E0,-3.468287659E-1,1.952689362E0
1.144770708E0,9.555529175E0,-3.854484558E-1,1.980232086E0
1.154725708E0,9.525142365E0,-4.441264343E-1,2.022144928E0
1.164680708E0,9.513316956E0,-4.924758911E-1,2.037562866E0
1.174635708E0,9.562414856E0,-5.004093933E-1,2.057770844E0
1.184590708E0,9.602531433E0,-4.785548401E-1,2.077230377E0
1.194545708E0,9.621841278E0,-4.052073669E-1,2.097737732E0
1.204500708E0,9.617500305E0,-3.722758484E-1,2.140997772E0
1.214456708E0,9.618997192E0,-3.290158081E-1,2.145488434E0
1.224411708E0,9.634864197E0,-2.642005920E-1,2.094594269E0
1.234366708E0,9.664801941E0,-2.113604736E-1,2.024090881E0
1.244321708E0,9.717492371E0,-1.128652954E-1,2.000739441E0
1.254276708E0,9.705816650E0,-7.858657837E-2,2.001038818E0
1.264231708E0,9.604776764E0,-1.959425354E-1,2.021695862E0
1.274186708E0,9.452693024E0,-3.068618774E-1,1.997296600E0
1.284141708E0,9.444460144E0,-3.296145630E-1,1.891616364E0
1.294096708E0,9.490863647E0,-3.737727356E-1,1.879940643E0
1.304051708E0,9.444460144E0,-4.303550720E-1,1.976789246E0
1.314006708E0,9.452243958E0,-3.432362366E-1,2.044598236E0
1.323961708E0,9.455537109E0,-3.191363525E-1,2.074535980E0
1.333916708E0,9.471404114E0,-1.969903564E-1,2.089504852E0
1.343871708E0,9.501940613E0,-2.230361938E-1,2.094145203E0
1.353827708E0,9.507479095E0,-2.168989563E-1,2.077080688E0
1.363782708E0,9.639205170E0,-1.380130005E-1,2.070045319E0
1.373737708E0,9.652228088E0,-9.325607300E-2,2.130220184E0
1.383692708E0,9.544901276E0,-2.076182556E-1,2.166295166E0
1.393647708E0,9.520352325E0,-2.764750671E-1,2.147135010E0
1.403602708E0,9.428144073E0,-3.775149536E-1,2.143991547E0
1.413557708E0,9.411528625E0,-4.305047607E-1,2.158511353E0
1.423512708E0,9.445058899E0,-4.713697815E-1,2.172881470E0
1.433467708E0,9.517657928E0,-4.724176025E-1,2.177821198E0
1.443422708E0,9.565408630E0,-4.643344116E-1,2.143542480E0
1.453377708E0,9.670041046E0,-3.975732422E-1,2.080373840E0
1.463332708E0,9.697134705E0,-3.372486877E-1,2.117047577E0
1.473287708E0,9.709858246E0,-3.224295044E-1,2.161804504E0
1.483242708E0,9.731563110E0,-3.124003601E-1,2.100132751E0
1.493198708E0,9.667047272E0,-2.053729248E-1,2.052980804E0
1.503153708E0,9.640702057E0,-1.242416382E-2,2.057321777E0
1.513108708E0,9.656868439E0,1.528321838E-1,2.062560883E0
1.523063708E0,9.652078400E0,3.083587646E-1,2.125879211E0
1.533018708E0,9.574988708E0,3.365002441E-1,2.214045868E0
1.542973708E0,9.499994659E0,3.674858093E-1,2.263742523E0
1.552928708E0,9.448801117E0,3.125500488E-1,2.261497192E0
1.562883708E0,9.367819519E0,2.062710571E-1,2.160756683E0
1.572838708E0,9.214687958E0,9.190887451E-2,2.039059753E0
1.582793708E0,9.119635620E0,-2.215393066E-2,1.898502045E0
1.592748708E0,9.165739746E0,-6.182144165E-2,1.882185974E0
1.602703708E0,9.233249359E0,-2.978805542E-2,2.009421387E0
1.612658708E0,9.307045898E0,-3.457809448E-2,2.189496918E0
1.622613708E0,9.376052399E0,-9.999206543E-2,2.516417084E0
1.632568708E0,9.370663605E0,-2.228865051E-1,2.955454102E0
1.642524708E0,9.373507690E0,-4.117936707E-1,3.291654968E0
1.652479708E0,9.231602783E0,-6.891668701E-1,3.435655518E0
1.662434708E0,9.421707458E0,-8.379574585E-1,3.544329529E0
1.672389708E0,9.931846619E0,-7.882608032E-1,3.582051086E0
1.682344708E0,9.602082367E0,-6.457571411E-1,3.896098022E0
1.692299708E0,9.154513092E0,-4.959187317E-1,4.309238892E0
1.702254708E0,9.396859131E0,-5.562432861E-1,4.223317566E0
1.712209708E0,9.910890198E0,-3.775149536E-1,3.833827515E0
1.722164708E0,9.880054321E0,-1.359173584E-1,3.565585327E0
1.732119708E0,9.916129303E0,2.395019531E-3,3.344944153E0
1.742074708E0,9.794132996E0,1.865121460E-1,3.025807800E0
1.752029708E0,9.560618591E0,2.749781799E-1,2.625540161E0
1.761984708E0,9.301956482E0,2.941383362E-1,2.306852875E0
1.771939708E0,9.088650055E0,3.676354980E-1,2.192341003E0
1.781895708E0,8.908724213E0,4.168830872E-1,2.297572174E0
1.791850708E0,8.775052185E0,5.258564758E-1,2.498454437E0
1.801805708E0,8.783135376E0,6.474037170E-1,2.625240784E0
1.811760708E0,8.818461914E0,6.530918884E-1,2.731968842E0
1.821715708E0,8.825197906E0,5.596861267E-1,2.823877716E0
1.831670708E0,8.743467865E0,5.050497437E-1,2.886597290E0
1.841625708E0,8.695417786E0,4.611909485E-1,3.008743286E0
1.851580708E0,8.804840240E0,3.441343689E-1,3.130440216E0
1.861535708E0,8.950187988E0,2.514770508E-1,3.306474152E0
1.871490708E0,8.905880127E0,1.796264648E-1,3.470383301E0
1.881445708E0,8.875942383E0,1.429527283E-1,3.396736450E0
1.891400708E0,8.928034058E0,4.640350342E-2,3.238814850E0
1.901355708E0,8.866661682E0,-1.320254517E-1,3.149600372E0
1.911310708E0,8.815318451E0,-8.322692871E-2,3.317401428E0
1.921266708E0,8.573421478E0,4.849914551E-2,3.609294434E0
1.931221708E0,8.481961670E0,5.119354248E-2,3.659589844E0
1.941176708E0,8.638236694E0,8.158035278E-2,3.471880188E0
1.951131708E0,8.868158569E0,1.321751404E-1,3.289559326E0
1.961086708E0,9.146429901E0,2.260299683E-2,3.314108276E0
1.971041708E0,9.270821228E0,-4.939727783E-2,3.565285950E0
1.980996708E0,9.224268036E0,-3.742218018E-2,3.698209534E0
1.990951708E0,9.263935547E0,-1.175056458E-1,3.505410461E0
2.000906708E0,9.278305664E0,-1.787283325E-1,3.440894623E0
2.010861708E0,9.189839630E0,-1.360670471E-1,3.649560699E0
2.020816708E0,9.029822388E0,-1.294807434E-1,3.839964752E0
2.030771708E0,8.849148102E0,-1.875599670E-1,3.787723389E0
2.040726708E0,8.715176697E0,-2.248324585E-1,3.733985138E0
2.050681708E0,8.617280273E0,-1.859133911E-1,3.799099731E0
2.060639458E0,8.608897705E0,-8.262817383E-2,3.792962494E0
2.070595458E0,8.563542023E0,1.240919495E-1,3.757635956E0
2.080550458E0,8.513096924E0,3.935316467E-1,3.745211792E0
2.090505458E0,8.529113617E0,5.908213806E-1,3.671564941E0
2.100460458E0,8.484805756E0,7.134164429E-1,3.622766418E0
2.110415458E0,8.475525055E0,7.095245361E-1,3.698359222E0
2.120370458E0,8.471184082E0,6.051914978E-1,3.880081329E0
2.130325458E0,8.484356689E0,4.724176025E-1,3.966302032E0
2.140280458E0,8.515941010E0,3.511697388E-1,3.816014557E0
2.150235458E0,8.549321594E0,2.040257263E-1,3.782035217E0
2.160190458E0,8.682694244E0,4.595443726E-2,3.859424286E0
2.170145458E0,8.798253937E0,1.582209778E-1,3.877985687E0
2.180100458E0,8.886121216E0,2.559677124E-1,3.808829498E0
2.190055458E0,8.921896820E0,2.761756897E-1,3.671564941E0
2.200010458E0,8.858877869E0,3.444337463E-1,3.646716614E0
2.209966458E0,8.977131958E0,3.873944092E-1,3.907474365E0
2.219921458E0,8.832083588E0,2.613565063E-1,4.260590057E0
2.229876458E0,8.696465607E0,2.894979858E-1,4.316873016E0
2.239831458E0,8.591384125E0,5.113366699E-1,4.164789276E0
2.249786458E0,8.584049377E0,6.015989685E-1,3.979025574E0
2.259741458E0,8.649762726E0,6.236032104E-1,3.895648956E0
2.269696458E0,8.720415802E0,6.987469482E-1,4.039350128E0
2.279651458E0,8.849148102E0,7.553292847E-1,4.328698425E0
2.289606458E0,9.114845581E0,7.069798279E-1,4.558769989E0
2.299561458E0,9.572743378E0,7.219487000E-1,4.517306213E0
2.309516458E0,1.038645126E1,9.993218994E-1,4.126169586E0
2.319471458E0,1.121003860E1,1.328188019E0,3.708837433E0
