"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.216814167E-1,7.036004215E-2,-4.482655600E-2,4.142864048E-2
7.316364166E-1,6.874594092E-2,-1.955122873E-2,3.615405783E-2
7.415914166E-1,6.924448907E-2,-5.883887410E-3,2.848575264E-2
7.515464167E-1,7.219075412E-2,-1.159977354E-2,2.458939329E-2
7.615014167E-1,6.459275633E-2,-1.838337816E-2,2.262344770E-2
7.714564166E-1,4.225113988E-2,-1.170253754E-2,1.338136289E-2
7.814114167E-1,2.671425603E-2,-8.312473074E-4,9.820183739E-3
7.913664167E-1,1.250534598E-2,-4.894860554E-3,-6.458432879E-3
8.013214167E-1,-5.299749784E-3,-2.273884043E-2,-2.378788963E-2
8.112764166E-1,-2.119902149E-2,-3.165066987E-2,-3.946642578E-2
8.212314167E-1,-4.366411641E-2,-1.755881868E-2,-4.710170627E-2
8.311864167E-1,-6.970748305E-2,-6.105345208E-3,-4.905732721E-2
8.411414166E-1,-8.681563288E-2,4.789646715E-3,-5.359961465E-2
8.510974167E-1,-1.076161861E-1,1.274103392E-2,-5.786649138E-2
8.610524167E-1,-1.215943173E-1,1.682152785E-2,-6.291025877E-2
8.710074166E-1,-1.332389414E-1,5.423582625E-3,-7.094243169E-2
8.809624166E-1,-1.445997208E-1,5.545289256E-3,-8.121211082E-2
8.909174167E-1,-1.582436264E-1,-6.453635870E-4,-7.637166977E-2
9.008724167E-1,-1.637052447E-1,-3.669915488E-3,-6.366732717E-2
9.108274166E-1,-1.653562784E-1,-1.771641662E-3,-5.543009937E-2
9.207824167E-1,-1.677903980E-1,2.899809042E-3,-5.075917393E-2
9.307374167E-1,-1.695305705E-1,3.678401932E-2,-4.790617526E-2
9.406924167E-1,-1.699146032E-1,5.042979121E-2,-4.573782533E-2
9.506474166E-1,-1.756656468E-1,2.335940860E-2,-4.585402459E-2
9.606024167E-1,-1.802883595E-1,-9.203327820E-3,-5.287278816E-2
9.705574167E-1,-1.920378506E-1,-1.729537360E-2,-6.150159612E-2
9.805124166E-1,-1.976898760E-1,-1.102554961E-3,-6.745003164E-2
9.904674166E-1,-1.911101192E-1,6.732761860E-3,-7.111410797E-2
1.000423417E0,-1.772187948E-1,1.726103574E-2,-7.447181642E-2
1.010378417E0,-1.628676653E-1,1.831914112E-2,-7.005532831E-2
1.020333417E0,-1.501888931E-1,1.875723153E-2,-6.245200336E-2
1.030288417E0,-1.373257488E-1,1.255024318E-2,-5.578995869E-2
1.040243417E0,-1.267332882E-1,7.934719324E-3,-4.707236961E-2
1.050198417E0,-1.211174652E-1,4.809769802E-3,-4.383584857E-2
1.060152708E0,-1.200822964E-1,1.376251783E-2,-4.236551747E-2
1.070107708E0,-1.155660376E-1,2.666996978E-2,-4.205869138E-2
1.080062708E0,-1.085099950E-1,3.684590757E-2,-4.501373693E-2
1.090017708E0,-1.051769108E-1,3.945963830E-2,-4.919017479E-2
1.099972708E0,-1.035673022E-1,3.271384910E-2,-4.552646354E-2
1.109927708E0,-9.872017056E-2,2.483750880E-2,-4.102425277E-2
1.119882708E0,-9.942510724E-2,2.144437470E-2,-4.290178046E-2
1.129837708E0,-9.395251423E-2,1.834577322E-2,-4.430895299E-2
1.139793708E0,-7.689949870E-2,1.463918574E-2,-4.417233542E-2
1.149748708E0,-6.726343930E-2,9.248830378E-3,-3.990613297E-2
1.159703708E0,-5.168820173E-2,1.002540812E-2,-3.195180371E-2
1.169658708E0,-3.173172101E-2,1.066074707E-2,-2.283313498E-2
1.179613708E0,-2.302451618E-2,1.590850763E-2,-1.585751586E-2
1.189568708E0,-1.683506370E-2,3.304141760E-2,-1.799257286E-2
1.199523708E0,-1.227706391E-2,4.800305888E-2,-2.876665816E-2
1.209478708E0,-7.578118704E-3,4.342000932E-2,-4.210559279E-2
1.219433708E0,-1.274012402E-2,3.996988758E-2,-4.733604193E-2
1.229388708E0,-1.484405715E-2,5.109877884E-2,-3.858137876E-2
1.239343708E0,-1.357772294E-2,4.884521291E-2,-2.170386352E-2
1.249298708E0,-1.350068487E-3,6.852882355E-2,-1.762286574E-2
1.259253708E0,1.294870954E-2,8.008427918E-2,-1.734643057E-2
1.269208708E0,3.445887938E-2,6.161098555E-2,-5.264713429E-3
1.279164708E0,4.747907072E-2,3.263526037E-2,9.844730608E-3
1.289119708E0,5.328574032E-2,2.542963810E-2,1.918602921E-2
1.299074708E0,6.854618341E-2,1.168905944E-2,4.097148776E-2
1.309029708E0,8.195820451E-2,1.405292004E-2,4.794325680E-2
1.318984708E0,9.367505461E-2,5.229191855E-2,3.352383524E-2
1.328939708E0,1.044831797E-1,6.420478970E-2,2.879693545E-2
1.338894708E0,1.148231626E-1,6.379865855E-2,2.044446394E-2
1.348849708E0,1.293736249E-1,2.647583932E-2,3.219816461E-2
1.358804708E0,1.298268884E-1,1.129875146E-2,2.568114549E-2
1.368759708E0,1.300145090E-1,4.104756564E-2,1.749173738E-2
1.378714708E0,1.232474148E-1,7.334664464E-2,1.687681302E-2
1.388669708E0,1.200077683E-1,8.263260126E-2,1.563191600E-2
1.398624708E0,1.250272989E-1,6.721023470E-2,1.679225452E-2
1.408579708E0,1.258771718E-1,3.884715959E-2,2.267242968E-2
1.418534708E0,1.349612176E-1,2.839398384E-2,3.212318942E-2
1.428490708E0,1.443961710E-1,2.686888166E-2,3.624309599E-2
1.438445708E0,1.551747918E-1,2.607126534E-2,4.156915098E-2
1.448400708E0,1.554941237E-1,2.804472484E-2,3.771298379E-2
1.458355708E0,1.523633152E-1,3.376279771E-2,3.017011285E-2
1.468310708E0,1.488415152E-1,4.302747548E-2,2.292929403E-2
1.478265708E0,1.305685043E-1,6.673866510E-2,6.539934315E-3
1.488220708E0,9.657703340E-2,8.312920481E-2,-9.035114199E-3
1.498175708E0,6.023580953E-2,8.115313947E-2,-2.718162723E-2
1.508130708E0,2.673500031E-2,7.820252329E-2,-4.580109194E-2
1.518085708E0,-1.320362650E-2,8.088565618E-2,-6.568744779E-2
1.528040708E0,-5.665302277E-2,1.004146561E-1,-8.454168588E-2
1.537995708E0,-1.008580402E-1,1.271243095E-1,-9.816908091E-2
1.547950708E0,-1.330702901E-1,1.478662044E-1,-1.043352410E-1
1.557905708E0,-1.642167568E-1,1.470126659E-1,-1.121489555E-1
1.567861708E0,-1.983126253E-1,1.135741249E-1,-1.107764393E-1
1.577816708E0,-2.446215302E-1,8.259303868E-2,-1.155418977E-1
1.587771708E0,-2.942778468E-1,4.357316345E-2,-1.198323965E-1
1.597726708E0,-3.276288807E-1,1.941722818E-2,-1.158384532E-1
1.607681708E0,-3.404991627E-1,1.600272837E-3,-1.037523448E-1
1.617636708E0,-3.261905313E-1,-5.925722048E-2,-9.085278958E-2
1.627591708E0,-2.936568856E-1,-1.009178311E-1,-7.219950855E-2
1.637546708E0,-2.539861798E-1,-1.110149398E-1,-5.772017315E-2
1.647501708E0,-2.116291225E-1,-7.341860980E-2,-1.123109274E-2
1.657456708E0,-1.653407216E-1,-7.862828672E-2,2.299895743E-3
1.667411708E0,-1.248370111E-1,-1.390184611E-1,-2.259381115E-2
1.677366708E0,-5.774559081E-2,-1.210088357E-1,-1.125167590E-2
1.687321708E0,4.168891162E-2,-3.956339136E-2,3.687507473E-3
1.697276708E0,1.234660596E-1,-4.043104872E-2,-2.006682381E-2
1.707232708E0,1.611709297E-1,-6.433779746E-2,-7.754743844E-2
1.717187708E0,1.812415719E-1,-2.243508771E-2,-1.043478921E-1
1.727142708E0,1.975062042E-1,7.750170678E-2,-1.070600450E-1
1.737097708E0,2.133488059E-1,2.080008686E-1,-1.000415459E-1
1.747052708E0,2.099927515E-1,2.903408706E-1,-9.245695174E-2
1.757007708E0,1.899833530E-1,2.935507596E-1,-8.790374547E-2
1.766962708E0,1.547935903E-1,2.488085628E-1,-1.002167389E-1
1.776917708E0,1.307694763E-1,1.944297403E-1,-1.020790860E-1
1.786872708E0,1.143377274E-1,1.359531283E-1,-1.069362164E-1
1.796827708E0,8.516785502E-2,9.624007344E-2,-1.052805260E-1
1.806782708E0,5.517891422E-2,7.776276022E-2,-1.178095341E-1
1.816737708E0,3.676608577E-2,5.000330135E-2,-1.081214920E-1
1.826692708E0,2.638648264E-2,3.477786854E-2,-9.450431168E-2
1.836647708E0,1.634716429E-2,2.338486351E-2,-8.008196950E-2
1.846603708E0,1.452149916E-2,2.530058613E-3,-8.134207129E-2
1.856558708E0,1.183010824E-2,-1.985407807E-2,-8.028932661E-2
1.866513708E0,1.604361460E-2,-2.964471700E-3,-7.892449945E-2
1.876468708E0,1.766628027E-2,3.175329790E-2,-6.210716814E-2
