"event","experiment time","system time","system time text"
"START",0.000000000E0,1699189369.052,"2023-11-05 22:02:49.052 UTC+09:00"
"PAUSE",8.434972534E1,1699189453.402,"2023-11-05 22:04:13.402 UTC+09:00"
