"event","experiment time","system time","system time text"
"START",0.000000000E0,1682675825.068,"2023-04-28 18:57:05.068 UTC+09:00"
"PAUSE",1.331176052E1,1682675838.380,"2023-04-28 18:57:18.380 UTC+09:00"
