"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.780242916E-1,-4.747787082E-1,-3.767513072E-1,1.700609901E0
7.879822917E-1,-9.310591650E-1,2.493322921E-1,1.619375850E0
7.979402917E-1,-1.254900187E0,7.462011963E-1,1.308461267E0
8.078982916E-1,-8.507131594E-1,1.003105048E0,1.234529073E0
8.178562917E-1,-3.869447583E-1,7.672096574E-1,1.267060349E0
8.278132917E-1,-4.670814335E-2,4.141910291E-1,1.453867341E0
8.377712917E-1,2.371747613E-2,1.102001345E-1,1.719097628E0
8.477292917E-1,-3.828663254E-1,-4.441124010E-1,2.331065756E0
8.576872917E-1,-4.274881822E-1,-1.365164056E0,3.055906343E0
8.676452917E-1,1.620555818E-1,-3.207153931E0,3.784412695E0
8.776024166E-1,1.464396569E0,-4.422529280E0,4.295803159E0
8.875604167E-1,3.032014620E0,-4.755857994E0,5.072382395E0
8.975184167E-1,4.110032440E0,-5.070389664E0,5.498957242E0
9.074764166E-1,4.791856377E0,-5.274675007E0,5.884698644E0
9.174344167E-1,5.090338025E0,-4.979053817E0,6.167044315E0
9.273924167E-1,4.984742573E0,-3.856169141E0,5.629135559E0
9.373494167E-1,4.978873723E0,-2.456320571E0,4.516816217E0
9.473074166E-1,5.017530835E0,-1.672368581E0,3.153344344E0
9.572654167E-1,5.536553670E0,-1.346055940E0,1.195520397E0
9.672234167E-1,6.025400194E0,-1.035062420E0,-5.472476372E-1
9.771814166E-1,5.708222659E0,-5.090562558E-1,-1.470030361E0
9.871394167E-1,5.290689361E0,1.303724438E-1,-2.332187106E0
9.970964167E-1,5.460849769E0,8.651405793E-1,-2.520670933E0
1.007054417E0,5.498608164E0,1.418759050E0,-2.234521063E0
1.017012417E0,4.526213862E0,1.220119194E0,-1.292942172E0
1.026970417E0,2.830826547E0,8.722876310E-2,2.517974782E-1
1.036928417E0,3.157979432E0,-2.055407399E-1,1.182820390E0
1.046886417E0,3.628616850E0,5.001755047E-1,1.007699790E0
1.056843417E0,3.033784572E0,6.856029922E-1,5.177475572E-2
1.066801417E0,2.305914689E0,1.707205707E-1,-3.645060682E-1
1.076759417E0,2.498689788E0,7.842870355E-2,-4.780595809E-1
1.086717417E0,2.178162090E0,2.989973724E-2,-5.860541457E-1
1.096675417E0,1.363642611E0,1.999519712E-1,-7.354253626E-1
1.106633417E0,1.067920556E0,4.271905589E-1,-9.148236398E-1
1.116590417E0,8.719204259E-1,5.834375167E-1,-8.910817516E-1
1.126548417E0,5.848183367E-1,4.835670733E-1,-9.064108121E-1
1.136506417E0,2.437253970E-1,-1.367938560E-1,-9.082215486E-1
1.146464417E0,2.160166115E-2,-7.716570497E-1,-7.986286475E-1
1.156422417E0,-4.656775171E-1,-1.361939902E0,-1.002849086E0
1.166380417E0,-1.047395368E0,-2.083116769E0,-1.337923048E0
1.176337417E0,-1.187347890E0,-1.919770122E0,-1.287712423E0
1.186295417E0,-9.563875490E-1,-1.102025903E0,-1.145805761E0
1.196253417E0,-2.129754746E-1,-4.000974852E-1,-9.179445912E-1
1.206211417E0,3.599499178E-1,-5.075301325E-1,-5.084879065E-1
1.216169417E0,7.248436564E-1,-9.786473143E-1,1.531970501E-3
1.226127417E0,1.376857026E0,-2.182427049E0,4.724598487E-1
1.236084417E0,9.721150973E-1,-3.122047707E0,5.291541593E-1
1.246042417E0,9.193197101E-2,-2.293359840E0,7.429320180E-1
1.256000417E0,7.125943244E-2,-4.489316761E-1,1.061918243E0
1.265958417E0,1.593915904E-1,1.263214343E0,2.194283448E0
1.275916417E0,1.224673298E0,1.470378270E0,2.435211976E0
1.285874417E0,2.105108732E0,1.465729149E0,-3.123531438E-1
1.295831417E0,1.595918575E0,1.110778601E0,-1.042836440E0
1.305789417E0,1.075881248E0,1.140770139E0,-9.877030434E-1
1.315747417E0,9.860569060E-1,1.381325760E0,-2.138224438E-2
1.325705417E0,1.070203017E0,1.262492797E0,1.777345982E0
1.335663417E0,1.179483092E0,1.522842413E0,2.634771745E0
1.345621417E0,1.179375796E0,2.048721108E0,1.831089203E0
1.355578417E0,9.821483347E-1,2.037804356E0,5.050994450E-1
1.365536417E0,8.243042099E-1,2.664145818E0,-1.117072251E0
1.375494417E0,3.687537780E-1,3.888251644E0,-1.886869886E0
1.385452417E0,-5.470953172E-1,3.903202389E0,-2.388256349E0
1.395410417E0,-1.451376281E0,2.296208019E0,-2.749917747E0
1.405368417E0,-2.282016242E0,6.734366906E-1,-2.519582182E0
1.415325417E0,-2.546733727E0,-5.915651464E-1,-1.611433577E0
1.425283417E0,-2.043247822E0,-1.399865527E0,4.342861551E-1
1.435241417E0,-7.820300102E-1,-1.372508159E0,2.591028433E0
1.445199417E0,5.450882605E-1,-5.109390593E-1,3.101833298E0
1.455157417E0,1.678033948E0,6.885324472E-1,2.956600156E0
1.465115417E0,2.302312804E0,1.846093451E0,2.033808808E0
1.475072417E0,7.639393097E-1,2.556735390E0,-1.535651469E0
1.485030417E0,1.797026541E0,4.244594414E0,-2.801857394E0
1.494988417E0,2.508145612E0,6.769002303E0,-1.275581789E0
1.504946417E0,-1.848698970E0,6.806220415E0,-1.923278452E0
1.514904417E0,-2.198214532E0,3.484916555E0,-1.710854954E0
1.524862417E0,-4.908018333E-1,-1.370845796E0,-1.754679251E-1
1.534819417E0,-1.534175486E0,-4.340381747E0,1.906885198E0
1.544777417E0,-1.876052245E0,-4.834247521E0,2.226997451E0
1.554735417E0,-1.478197752E0,-3.276441098E0,8.844187032E-1
1.564693417E0,-6.992030311E-1,-1.569942319E0,-1.753106350E-1
1.574651417E0,2.690654755E-2,-3.959383607E-1,-1.572855987E0
1.584609417E0,-3.564579606E-2,3.007275635E-1,-3.249411174E0
1.594566417E0,1.482467973E-1,1.202775183E0,-4.478658457E0
1.604524417E0,-4.934611470E-1,1.772919055E0,-4.966304548E0
1.614482417E0,-1.670664117E0,1.701387143E0,-4.793402966E0
1.624440417E0,-2.736046690E0,1.570051662E0,-4.246450320E0
1.634398417E0,-2.664607163E0,8.206555474E-1,-2.213026114E0
1.644356417E0,-3.433080989E0,-8.031530768E-1,-2.505279746E-1
1.654314417E0,-3.782054513E0,-1.044056607E0,9.532130957E-1
1.664271417E0,-2.473587399E0,-1.446642083E-1,2.639510329E0
1.674229417E0,-2.142747259E-1,-2.438171983E-1,3.739119578E0
1.684187417E0,7.971047169E-1,-4.290786248E-1,3.891703840E0
1.694145417E0,4.237319309E-1,-5.808056849E-1,5.637639749E0
1.704103417E0,-1.423271347E0,-5.479314691E-1,5.218715399E0
1.714061417E0,-1.870807877E0,1.176301914E-1,3.243408422E0
1.724018417E0,-1.524876659E0,8.749785197E-1,1.846263020E0
1.733976417E0,-7.356528193E-1,9.835426033E-1,1.260414112E0
1.743934417E0,-4.580346215E-1,8.489315128E-1,2.071130562E-1
1.753892417E0,8.789101875E-1,4.114902002E-1,-3.116459962E-1
1.763850417E0,2.631098524E0,-2.189033818E-1,-2.389914181E-1
1.773807417E0,4.379759821E0,-1.022349404E0,-4.576861274E-1
1.783765417E0,4.889293794E0,-2.045420355E0,-6.536345100E-1
1.793723417E0,4.659605223E0,-2.442557979E0,-1.680804943E0
1.803681417E0,4.367454355E0,-2.864947389E0,-2.824840168E0
1.813639417E0,4.448938229E0,-2.212624410E0,-2.562271534E0
1.823597417E0,1.626849176E0,-1.568806205E0,-2.622542878E0
1.833555417E0,-1.518087457E0,-6.554541636E-1,-1.610587485E0
1.843512417E0,-5.335344547E-1,3.353389871E-1,-2.226876998E-1
1.853470417E0,7.590755957E-1,7.890238649E-1,3.184276700E-1
1.863428417E0,1.258590365E0,2.754968280E-1,2.660331460E-1
1.873386417E0,1.725488196E0,-4.925261772E-1,2.990816088E-1
1.883344167E0,2.591755534E0,-1.115739378E0,3.644043632E-1
1.893302167E0,3.537370757E0,-1.776322719E0,9.988260555E-1
1.903259167E0,4.189599012E0,-2.798937587E0,1.350852996E0
1.913217167E0,3.590930083E0,-3.658349649E0,8.280382419E-1
1.923175167E0,2.295564825E0,-3.183245836E0,1.975353169E-1
1.933133167E0,2.250820761E0,-2.252891845E0,-1.644760952E0
1.943091167E0,2.055511479E0,-2.189718527E0,-2.537440163E0
1.953049167E0,7.425221282E-1,-1.658853911E0,-1.830860285E0
1.963006167E0,-1.418041012E0,-8.112096629E-1,-3.754204810E-1
1.972964167E0,-4.382376450E0,-8.501208365E-1,2.471237987E-1
1.982922167E0,-6.384289427E0,-1.401552449E0,-6.229155779E-2
1.992880167E0,-5.072580031E0,-1.738240973E0,2.928098488E-1
2.002838167E0,-3.489358100E0,-1.200736552E0,5.028430045E-1
2.012796167E0,-2.441229492E0,1.043055564E-2,4.481972659E-1
2.022753167E0,-2.170840791E0,1.061636846E0,1.203965457E-1
