"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.780242916E-1,-1.014775932E-1,5.427733660E-1,3.067025423E0
7.879822917E-1,-1.458762139E-1,5.496994257E-1,2.878903866E0
7.979402917E-1,-2.543220818E-1,5.983467102E-1,2.770764828E0
8.078982916E-1,-3.971516788E-1,5.964146256E-1,2.696108103E0
8.178562917E-1,-5.570747852E-1,5.936798453E-1,2.613162994E0
8.278132917E-1,-7.394930720E-1,6.702262759E-1,2.486108303E0
8.377712917E-1,-9.448413253E-1,7.182595730E-1,2.365755558E0
8.477292917E-1,-1.139093518E0,6.464663148E-1,2.314701080E0
8.576872917E-1,-1.290573120E0,4.518541396E-1,2.307317734E0
8.676452917E-1,-1.319283843E0,1.772705168E-1,2.312766552E0
8.776024166E-1,-1.153514147E0,-2.510468960E-1,2.292692900E0
8.875604167E-1,-8.367327452E-1,-5.822107196E-1,2.325626135E0
8.975184167E-1,-4.109145403E-1,-8.014418483E-1,2.494957209E0
9.074764166E-1,1.115249693E-1,-1.053177118E0,2.708848953E0
9.174344167E-1,6.560889482E-1,-9.892095923E-1,2.856764555E0
9.273924167E-1,1.129782915E0,-6.272377968E-1,2.941622972E0
9.373494167E-1,1.483622074E0,-1.823018193E-1,2.992118835E0
9.473074166E-1,1.637710690E0,2.900989950E-1,2.981682062E0
9.572654167E-1,1.438044071E0,5.750920177E-1,2.772635937E0
9.672234167E-1,1.001825213E0,9.507055879E-1,2.397980213E0
9.771814166E-1,4.768512547E-1,1.387797117E0,1.992379546E0
9.871394167E-1,-8.653647453E-2,1.781964064E0,1.528626323E0
9.970964167E-1,-6.224096417E-1,2.044992924E0,1.010402679E0
1.007054417E0,-1.052111506E0,2.149362803E0,5.336399078E-1
1.017012417E0,-1.302677751E0,1.915575743E0,1.801535338E-1
1.026970417E0,-1.307584643E0,1.359988451E0,-5.490904301E-2
1.036928417E0,-1.226018786E0,7.933622599E-1,-2.561895549E-1
1.046886417E0,-1.276295185E0,5.787215829E-1,-3.632195890E-1
1.056843417E0,-1.402622700E0,7.675118446E-1,-4.374611378E-1
