"Time (s)","Distance (cm)"
2.857566666E-2,5.000000000E0
6.279795832E-2,0.000000000E0
6.281191666E-2,5.000000000E0
8.834042500E-1,0.000000000E0
2.349881963E2,5.000000000E0
2.351970075E2,0.000000000E0
2.355316004E2,5.000000000E0
2.355985331E2,0.000000000E0
2.361871421E2,5.000000000E0
2.369071262E2,0.000000000E0
2.394166105E2,5.000000000E0
2.400502757E2,0.000000000E0
2.401673505E2,5.000000000E0
