"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.298752058E1,3.466798316E1,1.353932020E2,1.384815435E1,5.309657179E-2,NaN,4.851947117E0,3.206734508E0
4.398751879E1,3.466798465E1,1.353932001E2,1.383362673E1,2.091685248E-2,NaN,4.850162412E0,3.209433222E0
4.498751771E1,3.466798300E1,1.353932020E2,1.392993804E1,2.455363366E-2,NaN,4.850396232E0,3.209079841E0
4.598751771E1,3.466798624E1,1.353932041E2,1.393071136E1,2.432740982E-2,NaN,4.852102158E0,3.206499911E0
4.698751569E1,3.466798849E1,1.353932044E2,1.394104473E1,4.458922642E-2,NaN,4.856780074E0,3.199409999E0
4.798751521E1,3.466798622E1,1.353932047E2,1.388497236E1,1.936523134E-2,NaN,4.852075629E0,3.206540054E0
4.898751402E1,3.466798743E1,1.353932077E2,1.384121863E1,2.815655205E-2,NaN,4.847720293E0,3.213120756E0
4.998751259E1,3.466798920E1,1.353932058E2,1.385579491E1,5.915466471E-2,NaN,4.846845720E0,3.214439858E0
5.098751211E1,3.466799018E1,1.353932003E2,1.382778284E1,3.722727993E-2,NaN,4.855852181E0,3.200818119E0
5.198751092E1,3.466799304E1,1.353932089E2,1.392090834E1,2.040995752E-2,NaN,4.847139743E0,3.213996476E0
5.298751080E1,3.466799353E1,1.353932060E2,1.391558700E1,4.139478315E-2,NaN,4.852828479E0,3.205400566E0
5.398750961E1,3.466799646E1,1.353932110E2,1.394117071E1,5.972149892E-2,NaN,4.844092692E0,3.218587116E0
5.498750901E1,3.466799589E1,1.353932149E2,1.384995026E1,8.111104402E-2,NaN,4.844208115E0,3.218413394E0
5.598750758E1,3.466799762E1,1.353932135E2,1.407792020E1,1.282029792E-1,NaN,4.834152912E0,3.233496971E0
5.698750734E1,3.466799494E1,1.353932082E2,1.402515668E1,2.231608477E-1,NaN,4.816654339E0,3.259505793E0
5.798750615E1,3.466799406E1,1.353932058E2,1.426779471E1,1.852034267E-1,NaN,4.794890447E0,3.291437776E0
5.898750496E1,3.466798798E1,1.353932025E2,1.452662570E1,1.826933100E-1,NaN,4.788753196E0,3.300360565E0
5.998750412E1,3.466798097E1,1.353932033E2,1.504834137E1,3.443433046E-1,2.273330340E2,4.783242620E0,3.308342043E0
6.098750353E1,3.466798430E1,1.353932067E2,1.485225329E1,1.627456856E-1,NaN,4.774547393E0,3.320878532E0
6.198750365E1,3.466798015E1,1.353932087E2,1.492748704E1,1.871240577E-1,NaN,4.771420225E0,3.325370064E0
6.298750520E1,3.466797556E1,1.353932014E2,1.490707923E1,4.084896394E-1,NaN,4.773774226E0,3.321989866E0
6.398750198E1,3.466797917E1,1.353932033E2,1.498869022E1,1.714069173E-1,NaN,4.772947260E0,3.323177920E0
6.498750126E1,3.466798516E1,1.353932055E2,1.460501969E1,1.965716047E-1,NaN,4.777584122E0,3.316508253E0
6.598750055E1,3.466798109E1,1.353932033E2,1.434006739E1,3.979091351E-1,NaN,4.775268005E0,3.319842242E0
6.698749959E1,3.466798101E1,1.353932080E2,1.417925576E1,2.416465778E-1,NaN,4.772349038E0,3.324036958E0
6.798749876E1,3.466798498E1,1.353932203E2,1.259032767E1,8.242161257E-1,5.850074077E1,4.779480553E0,3.313774687E0
6.898749781E1,3.466798494E1,1.353932157E2,1.304643051E1,3.082558896E-1,NaN,4.784021808E0,3.307215199E0
6.998749721E1,3.466798283E1,1.353932208E2,1.366122540E1,6.383967323E-2,NaN,4.794870650E0,3.291466615E0
7.098749697E1,3.466798499E1,1.353932168E2,1.371462411E1,7.781594906E-2,NaN,4.803098923E0,3.279447785E0
7.198749626E1,3.466798515E1,1.353932137E2,1.374723625E1,7.726324739E-2,NaN,4.809064683E0,3.270693184E0
7.298749530E1,3.466798482E1,1.353932191E2,1.367899264E1,8.812372587E-2,NaN,4.813267719E0,3.264504695E0
7.398749506E1,3.466798615E1,1.353932176E2,1.367885805E1,9.434122592E-2,NaN,4.818320450E0,3.257042381E0
7.498749423E1,3.466798466E1,1.353932161E2,1.370142851E1,6.417899675E-2,NaN,4.820658520E0,3.253580868E0
7.598749328E1,3.466798054E1,1.353932152E2,1.381854866E1,3.061471452E-2,NaN,4.822797562E0,3.250409314E0
7.698749256E1,3.466797769E1,1.353932188E2,1.387425004E1,3.415106486E-2,NaN,4.822599924E0,3.250702540E0
7.798749256E1,3.466797890E1,1.353932197E2,1.383019799E1,3.976629153E-2,NaN,4.822874681E0,3.250294885E0
7.898749185E1,3.466798505E1,1.353932229E2,1.392517965E1,5.489728845E-2,NaN,4.822886938E0,3.250276698E0
7.998749113E1,3.466798814E1,1.353932234E2,1.397448403E1,6.352207306E-2,NaN,4.825094831E0,3.246998138E0
8.098749065E1,3.466799243E1,1.353932253E2,1.403917169E1,7.732947781E-2,NaN,4.825741202E0,3.246037412E0
8.198748946E1,3.466799483E1,1.353932261E2,1.417143489E1,5.044489190E-2,NaN,4.826317199E0,3.245180940E0
8.298748863E1,3.466799829E1,1.353932253E2,1.413900758E1,3.427660236E-2,NaN,4.830163336E0,3.239453531E0
8.398748815E1,3.466799757E1,1.353932239E2,1.425107459E1,3.645960147E-2,NaN,4.830037622E0,3.239640968E0
8.498748827E1,3.466799575E1,1.353932265E2,1.436756011E1,5.238018605E-2,NaN,4.828092624E0,3.242538920E0
8.598748696E1,3.466799308E1,1.353932291E2,1.437914865E1,3.591743590E-2,NaN,4.828548317E0,3.241860297E0
8.698748636E1,3.466799149E1,1.353932318E2,1.441903727E1,2.840534481E-2,NaN,4.827732544E0,3.243075010E0
8.798748600E1,3.466799059E1,1.353932347E2,1.445519481E1,2.611846153E-2,NaN,4.827278430E0,3.243750914E0
8.898748577E1,3.466799169E1,1.353932355E2,1.450444324E1,3.796757737E-2,NaN,4.823201133E0,3.249810435E0
8.998748493E1,3.466799041E1,1.353932265E2,1.428755881E1,2.134564465E-1,NaN,4.828691636E0,3.241646821E0
