"event","experiment time","system time","system time text"
"START",0.000000000E0,1684287445.387,"2023-05-17 10:37:25.387 UTC+09:00"
"PAUSE",4.925517616E1,1684287494.642,"2023-05-17 10:38:14.642 UTC+09:00"
