"Time (s)","Illuminance (lx)"
0.000000000E0,1.502499938E0
1.808570344E1,2.012500018E-1
1.870091072E1,1.204999924E0
1.991897932E1,1.612499952E-1
2.442562336E1,7.599999905E-1
3.969308967E1,2.428750038E0
4.035822981E1,1.679999948E0
4.130623250E1,2.587499917E-1
4.197137898E1,9.375000000E-1
