"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.701861728877000E9,"2023-12-06 20:22:08.877 UTC+09:00"
"PAUSE",1.087579565583321E3,1.701862816442000E9,"2023-12-06 20:40:16.442 UTC+09:00"
