"event","experiment time","system time","system time text"
"START",0.000000000E0,1694955597.904,"2023-09-17 21:59:57.904 UTC+09:00"
"PAUSE",5.478977045E1,1694955652.693,"2023-09-17 22:00:52.693 UTC+09:00"
