"event","experiment time","system time","system time text"
"START",0.000000000E0,1693662929.976,"2023-09-02 22:55:29.976 UTC+09:00"
"PAUSE",1.271810230E1,1693662942.694,"2023-09-02 22:55:42.694 UTC+09:00"
