"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.491343913E0,-2.182292938E-2,-4.159946442E0,2.597527504E0
1.509237651E0,1.614651680E0,-4.280974865E0,2.333649635E0
1.527132060E0,4.369624138E0,-4.730588913E0,3.288716316E0
1.545025614E0,7.644418716E0,-4.675999641E0,5.631730080E0
1.562919657E0,9.331561089E0,-3.493739605E0,5.827709198E0
1.580813945E0,8.624083519E0,-9.387426376E-1,3.383700371E0
1.598707682E0,6.004021645E0,-6.363496780E-1,6.628720760E-1
1.616602396E0,4.980685711E0,9.576430321E-1,-1.003752112E0
1.634495768E0,2.086641788E0,1.762154102E0,-1.867069006E0
1.652392619E0,1.743216515E-1,8.613729477E-1,-1.721709967E0
1.670283854E0,8.541393280E-2,5.148773193E-1,-5.008533001E-1
1.688177897E0,3.790588379E-1,2.344536781E-1,7.990227938E-1
1.706071940E0,2.247955799E0,-5.579700470E-1,2.470197916E0
1.723951640E0,4.698140144E0,-2.245975971E0,4.409557343E0
1.741860270E0,5.246614933E0,-2.767640591E0,4.476732254E0
1.759750346E0,4.469017506E0,-2.864056110E0,2.666581154E0
1.777648112E0,5.261689186E0,-2.261275291E0,1.062510014E0
1.795542155E0,6.911434650E0,-1.263586044E0,1.068568945E0
1.813436259E0,6.782564640E0,-9.875974655E-1,-9.021830559E-2
1.831330302E0,5.094185829E0,7.307262421E-1,-1.430584431E0
1.849223613E0,3.877989769E0,8.032984734E-1,-2.556560993E0
1.867118327E0,2.370474339E0,-2.179174423E-1,-2.397106171E0
1.885011027E0,1.725100517E0,-1.209032059E0,-6.069705486E-1
1.902906413E0,6.881585121E-1,-1.502573490E0,5.055451393E-1
1.920800761E0,9.829096794E-1,-1.192281246E0,-2.651338577E-1
1.938698100E0,8.267211914E-1,-1.000936508E0,-1.189178944E0
1.956585795E0,2.257418633E-1,-6.205687523E-1,-3.016087532E0
1.974482585E0,-8.785104752E-2,-1.968636513E-1,-2.684656858E0
1.992376628E0,-4.876389503E-1,3.292965889E-1,-2.264672279E0
2.010270426E0,1.225520611E0,5.862903595E-1,-2.427868843E-1
2.028164958E0,1.220709324E0,8.021545410E-1,3.776812553E-1
2.046058818E0,3.580188751E-1,1.503973484E0,-1.365521908E0
2.063952861E0,-1.012233734E0,2.884250641E0,-3.840534210E0
2.081847148E0,-1.260733128E0,4.058021069E0,-4.822029591E0
2.099740946E0,-1.764005661E0,2.820519209E0,-2.857696056E0
2.117638164E0,-2.306710243E0,-5.480127335E-1,-1.921782494E-1
2.135529033E0,-3.502883434E0,-1.147410870E0,2.848354101E0
2.153422953E0,-2.084713459E0,1.501718044E0,2.892279863E0
2.171316996E0,-7.198905945E-2,4.542553425E0,2.006090641E0
2.189212443E0,-3.885550499E-1,4.262147427E0,2.853612900E0
2.207104410E0,-3.606498718E0,3.843259811E-2,4.516458035E0
2.224994364E0,-3.464735508E0,-6.572699547E-1,4.184043884E0
2.242893168E0,-5.418192863E0,-1.348098278E0,2.809522152E0
2.260776713E0,-6.081049919E0,-7.823381424E-1,1.345172167E0
2.278681315E0,-6.752762794E0,-6.779808998E-1,-1.878052473E0
2.296572916E0,-5.273050308E0,-7.125272751E-1,-3.809869766E0
2.314469645E0,-1.972693443E0,-2.112211704E0,-5.224091053E0
2.332363444E0,-1.612405777E-1,-2.457812786E0,-4.123573303E0
2.350245768E0,9.365992546E-1,-1.582602024E0,-1.455884933E0
2.368151774E0,2.423525333E0,-6.050920486E-2,-3.400939107E-1
2.386045817E0,3.315490246E0,-6.500439644E-1,-5.893113613E-1
2.403939921E0,3.988495350E0,-4.923396111E-1,-3.292739391E-1
2.421833842E0,2.956506252E0,7.435798645E-2,5.061026812E-1
2.439727946E0,9.465012550E-1,-2.670217514E0,2.372964859E0
2.457621989E0,1.224383831E0,-3.904630184E0,3.536127567E0
2.475516154E0,1.310945511E0,-3.058681488E0,9.735798836E-1
2.493410075E0,1.655622482E0,-1.475567818E0,-2.632979870E0
2.511305461E0,1.070447922E0,3.712916374E-1,-3.144653320E0
2.529198649E0,1.364137173E0,2.176984310E0,-2.080754042E0
2.547089335E0,8.725523949E-1,4.888305664E-1,-6.813136339E-1
2.564986247E0,-1.233066082E0,1.390823364E0,2.184741974E0
2.582882060E0,-2.243814230E0,2.764149666E0,1.666609645E-1
2.600779155E0,-2.410802841E0,2.275491714E0,-8.205978274E-1
2.618668620E0,-2.097671032E0,1.997418404E0,-6.037206650E-1
2.636558635E0,-1.527810097E0,2.707871437E0,-2.266209573E-1
2.654456767E0,-6.166036129E-1,5.149751663E0,3.420672417E-1
2.672350810E0,-1.213631630E0,5.235299587E0,2.679151297E-1
2.690251567E0,-1.624472141E0,4.508055210E0,1.820393682E0
2.708141887E0,-2.214857340E0,3.333031654E0,2.976292133E0
2.726033000E0,-2.809311152E0,3.275102615E0,1.918944120E0
2.743914714E0,-3.345622063E0,4.010144234E0,9.265161157E-1
2.761821269E0,-3.069170237E0,4.832558155E0,5.952832699E-1
2.779715373E0,-2.229098082E0,5.204697609E0,6.007612944E-1
2.797609355E0,-1.435380220E0,4.775567532E0,7.636476159E-1
2.815503398E0,-1.685881615E-2,-1.694955826E-1,1.799122095E0
2.833397135E0,1.391636372E0,-2.783915520E1,8.840858459E0
2.851291423E0,8.948459029E-1,-2.380428505E1,7.426633358E0
2.869185588E0,-7.813070416E-1,-1.504767418E1,-1.816698074E0
2.887079570E0,-1.434998274E0,-4.399946213E0,-7.262634277E0
2.904973551E0,-8.429428339E-1,1.217765808E-1,-1.679419041E0
2.922867594E0,-5.733271837E-1,2.548686028E0,9.062895775E-1
2.940761943E0,-2.862024009E-1,3.586300373E0,1.055374622E0
2.958655986E0,-7.113143802E-2,3.135955334E0,9.502528906E-1
2.976549174E0,-5.562164783E-1,1.525510788E0,7.371431589E-1
2.994442118E0,-1.414545059E0,7.066726685E-2,3.722908497E-1
3.012338298E0,-1.072592020E0,-6.382293701E-1,-3.992501497E-1
3.030220378E0,-3.056852221E-1,-6.790552139E-1,-8.728164434E-1
3.048126139E0,1.201743260E-1,-5.330400467E-1,-7.577204704E-1
3.066006999E0,2.960898876E-1,-2.377681732E-1,-5.067369938E-1
3.083917399E0,2.966058850E-1,-1.580429077E-1,2.024242878E-1
3.101808573E0,3.107201755E-1,-4.679393768E-2,6.793313026E-1
3.119702861E0,4.646986127E-1,1.981010437E-1,8.102023602E-1
3.137582256E0,6.271480322E-1,2.863559723E-1,7.216503620E-1
3.155490885E0,5.070203543E-1,2.018957138E-1,5.692982674E-1
3.173385050E0,2.394338250E-1,7.309341431E-2,3.612544537E-1
3.191278971E0,-7.783834636E-2,5.424976349E-2,2.247939110E-1
3.209170146E0,-3.179995418E-1,1.660604477E-1,1.864230633E-1
3.227067118E0,-4.618245959E-1,2.048997879E-1,2.235460281E-1
3.244961100E0,-5.303418636E-1,1.393852234E-1,3.093452454E-1
