"event","experiment time","system time","system time text"
"START",0.000000000E0,1695478001.781,"2023-09-23 23:06:41.781 UTC+09:00"
"PAUSE",5.131962258E1,1695478053.101,"2023-09-23 23:07:33.101 UTC+09:00"
