"event","experiment time","system time","system time text"
"START",0.000000000E0,1685361306.203,"2023-05-29 20:55:06.203 UTC+09:00"
"PAUSE",1.572895826E2,1685361463.490,"2023-05-29 20:57:43.490 UTC+09:00"
