"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.503780106E0,1.818838000E0,2.955412865E-2,1.641570091E0
1.521676285E0,1.838020802E0,-1.552767754E-1,-6.651878357E-3
1.539572281E0,2.197269201E0,-2.820425034E-1,1.121332169E0
1.557468094E0,1.985913873E0,-3.718781471E-2,6.293277740E-1
1.575364274E0,2.195869923E0,-1.838102341E-1,5.728502274E-1
1.593260270E0,1.820429802E0,-5.979120731E-1,3.430671692E-1
1.611156510E0,1.917252541E0,-4.934859276E-2,1.334192276E0
1.629052628E0,1.656182766E0,-2.645010948E-1,-1.609792709E-1
1.646949539E0,2.147855282E0,-1.554615498E-1,1.099652290E0
1.664835465E0,2.047795296E0,-2.639293671E-1,2.135257721E-1
1.682745561E0,1.909219503E0,1.390750408E-1,1.082203865E0
1.700636795E0,2.221528292E0,-2.256913185E-1,-1.036415100E-1
1.718533097E0,2.459148169E0,5.009963512E-1,9.473686218E-1
1.736429276E0,1.995842814E0,-4.599432945E-1,-2.702016830E-1
1.754323990E0,2.227783203E0,3.537304401E-1,2.030726433E0
1.772221268E0,1.925110817E0,1.789116859E-2,-9.522047043E-1
1.790120377E0,2.672929287E0,2.030313015E-1,1.967231750E0
1.808009720E0,2.345615625E0,1.956071854E-1,4.686431885E-1
1.825909195E0,2.445045948E0,2.461659908E-1,6.126432419E-1
1.843805741E0,2.532153368E0,-9.416954517E-1,7.389602661E-1
1.861697037E0,1.960435748E0,4.431390762E-2,1.072505951E0
1.879597672E0,1.471382022E0,-1.497883797E0,4.681692123E-1
1.897493668E0,1.420912623E0,1.456105709E-1,3.586196899E-1
1.915389908E0,2.507302999E0,1.033076525E0,1.473568916E0
1.933285965E0,1.770302653E0,-1.964921951E-1,-1.024190426E0
1.951181656E0,2.778592110E0,8.484110832E-1,3.013566017E0
1.969078141E0,1.685115814E0,-1.878032684E-1,-1.404533386E-1
1.986970841E0,1.382994175E0,-2.034769535E0,2.089023590E-1
2.004871109E0,2.321449518E0,5.381162167E-1,1.488747597E0
2.022766434E0,2.222700119E0,-6.661832333E-1,1.453883171E0
2.040662186E0,3.724725246E0,5.202038288E-1,2.777385712E-2
2.058558426E0,3.471339464E0,1.818122864E-1,1.300728798E0
2.076454606E0,2.711980104E0,-6.471426487E-1,2.854347229E-3
2.094350663E0,2.716576815E0,-5.980792046E-1,2.021388054E0
2.112246659E0,2.280969858E0,-1.491871357E0,-9.757952690E-1
2.130142960E0,2.853529930E0,7.905046940E-1,1.425858498E0
2.148039139E0,1.234061480E0,-1.502060890E-2,-1.456213474E0
2.165934769E0,2.247168064E0,9.046604633E-1,2.954427719E0
2.183831192E0,1.571543336E0,1.723039150E-1,-1.204049110E0
2.201730363E0,2.665235281E0,7.213447094E-1,1.154371262E0
2.219623124E0,2.754697323E0,-2.877621651E-1,-6.622600555E-2
2.237513932E0,2.774762630E0,-3.875613213E-1,3.007221222E-1
2.255415299E0,3.107634068E0,-1.737091541E-1,-4.290113449E-1
2.273311295E0,3.636632681E0,3.801925182E-1,6.627893448E-1
2.291210404E0,2.940390110E0,-6.655716896E-1,-4.856958389E-1
2.309103897E0,2.975508451E0,2.035131454E-1,5.458335876E-1
2.327003860E0,2.827510834E0,-4.048454762E-1,-2.819576263E-1
2.344895524E0,2.690999508E0,-1.367056370E-1,8.285789490E-1
2.362791520E0,2.575572491E0,-9.045832157E-1,5.833339691E-1
2.380687577E0,2.447485209E0,-8.266768456E-1,4.085025787E-1
2.398584061E0,2.428805351E0,-5.553817749E-2,1.471452713E-1
2.416480057E0,2.929026365E0,3.446025848E-1,1.198894501E0
2.434376297E0,2.971060991E0,-2.820999622E-1,2.812385559E-1
2.452272294E0,2.069438457E0,1.749644279E-1,6.746759415E-1
2.470168229E0,1.498431683E0,-7.969582081E-1,-2.716293335E-1
2.488048050E0,2.907129288E0,1.256278515E0,2.357865334E0
2.505960160E0,1.845613599E0,1.199173927E-1,-4.811944962E-1
2.523856400E0,2.898597717E0,-4.905333519E-1,1.433335304E0
2.541752701E0,1.833089590E0,-3.306269646E-2,-1.009368896E-2
2.559648758E0,3.289401531E0,3.139379025E-1,1.545546532E0
2.577544938E0,3.110012054E0,-6.492137909E-2,1.393699646E-1
2.595440751E0,2.861771584E0,-1.357793808E-3,5.663213730E-1
2.613334061E0,3.188347340E0,-1.674768925E-1,6.316671371E-1
2.631233048E0,3.117609978E0,2.915742397E-1,1.366554260E0
2.649129166E0,2.792176008E0,-1.038154125E0,-1.037223339E0
2.667028397E0,4.620809555E0,-3.035302162E-1,1.761297226E0
2.684921158E0,3.120640278E0,2.345483303E-1,3.099260330E-1
2.702817154E0,3.045742273E0,-6.408402920E-1,6.228437424E-1
2.720713089E0,3.228829622E0,7.462501526E-3,6.275730133E-1
2.738609452E0,2.210826635E0,-4.947130680E-1,6.208429337E-1
2.756505387E0,3.503730536E0,4.568147659E-1,2.840036392E0
2.774401688E0,2.136002064E0,-7.557454109E-1,-6.583743095E-1
2.792297623E0,2.888792753E0,-3.354668617E-2,2.451798439E0
2.810179031E0,2.861342430E0,4.887578487E-1,9.074029922E-1
2.828088822E0,2.700775385E0,-8.597273827E-1,6.627340317E-1
2.845985917E0,3.344616652E0,8.126139641E-2,2.219214439E0
2.863881852E0,2.965568304E0,-4.553420544E-1,1.125809669E0
2.881778153E0,2.953205585E0,-2.194864750E-1,1.998774529E0
2.899674210E0,3.274658442E0,-4.484055042E-1,1.429841995E0
2.917570023E0,3.031610489E0,-1.393947244E0,2.605590820E-1
2.935466263E0,3.378088236E0,-4.290707111E-1,1.090105057E0
2.953362381E0,3.410457611E0,-9.183671474E-1,1.497335434E-1
2.971258561E0,3.168717861E0,-7.398037910E-1,1.872568130E0
2.989151810E0,2.816748619E0,-1.019398689E0,7.417974472E-1
3.007053849E0,2.427933216E0,-8.226926327E-1,9.785327911E-1
3.024946061E0,2.842092991E0,-6.673877239E-1,2.907546997E0
3.042843094E0,2.394780159E0,-1.056737185E0,-4.637174606E-1
3.060738846E0,4.544950008E0,-1.411330462E0,2.897053719E0
3.078635086E0,2.319374084E0,-1.561017036E0,-9.717922211E-1
3.096531144E0,3.929566383E0,-1.367061615E0,2.115833282E0
3.114422318E0,3.298647404E0,-4.343981743E-1,6.053686142E-1
3.132323258E0,3.213605404E0,-5.711178780E-1,-3.940496445E-1
3.150216324E0,5.010086060E0,-1.158003330E0,1.447620392E0
3.168112625E0,3.515257359E0,-1.277258396E0,-1.294991493E0
3.186011185E0,5.040354729E0,-3.702862263E-1,2.325024605E0
3.203907792E0,4.112370014E0,-1.420220017E0,-7.049255371E-1
3.221803727E0,3.663776875E0,-7.206206322E-1,1.651067734E-1
3.239699723E0,3.369200706E0,1.774075031E-1,6.414880753E-1
3.257595963E0,3.281481743E0,-1.267962456E0,5.419206619E-1
3.275492020E0,3.109697104E0,-1.345627069E0,4.338951111E-1
3.293387894E0,4.346204281E0,-4.575285912E-1,1.904846191E0
3.311284256E0,2.958826542E0,-1.197423458E0,-1.461334229E-1
3.329179642E0,4.369993687E0,-1.119307041E0,1.205334663E0
3.347079423E0,4.026080132E0,-8.877263069E-1,9.317502975E-1
3.364974625E0,3.806891203E0,-1.093483686E0,1.721785545E0
3.382868485E0,4.130123615E0,-2.161580563E0,7.424440384E-1
3.400764359E0,5.351548672E0,-1.308538556E0,2.034816742E-1
3.418660721E0,5.354018211E0,-1.280025244E0,2.137846947E0
3.436561478E0,3.320645332E0,-2.164692879E0,-1.184860229E0
3.454452713E0,5.855656624E0,-5.925161839E-1,1.498158455E0
3.472348893E0,3.999276161E0,-9.690608978E-1,1.891326904E-2
3.490234879E0,3.783695936E0,-1.391244054E0,8.826322556E-1
3.508125992E0,3.638313770E0,-1.394986153E0,1.320633888E0
3.526037186E0,3.912263393E0,-3.788397312E-1,1.924649239E0
3.543933365E0,3.365930080E0,-1.276532888E0,-4.771680832E-1
3.561829361E0,4.053981304E0,-2.088372707E-1,1.364703178E0
3.579711075E0,3.605875969E0,-2.028985023E-1,8.975286484E-1
3.597621415E0,4.389636517E0,-5.523679256E-1,9.368581772E-1
3.615517533E0,3.991709948E0,-2.054324389E0,1.500044823E0
3.633413041E0,4.073576450E0,-9.784185886E-1,1.243176460E0
3.651295242E0,3.567128420E0,-6.909997463E-1,1.535506248E0
3.669191850E0,3.102524281E0,-1.948464990E0,1.664733887E-1
3.687105118E0,4.281518936E0,-1.310690880E0,2.293676376E0
3.704998124E0,3.679083109E0,-1.361254692E0,9.232225418E-1
3.722894303E0,4.749925137E0,-8.441636562E-1,8.466529846E-1
