"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.442140416E-1,-2.096668780E-1,1.583819836E-1,1.209123135E-1
7.541680416E-1,-2.043293417E-1,1.687236279E-1,1.122431904E-1
7.641230416E-1,-1.837574840E-1,1.528429389E-1,1.005737558E-1
7.740770417E-1,-1.568717360E-1,1.282541901E-1,8.499302715E-2
7.840320417E-1,-1.349256933E-1,1.152185574E-1,6.631415337E-2
7.939870416E-1,-1.119481176E-1,1.006550938E-1,4.950224608E-2
8.039410416E-1,-8.645473421E-2,1.011725441E-1,3.462236375E-2
8.138960417E-1,-7.106968760E-2,1.074912325E-1,2.161403373E-2
8.238500417E-1,-5.954831839E-2,9.745910764E-2,8.166667074E-3
8.338050416E-1,-4.138585553E-2,8.309089392E-2,1.387125812E-4
8.437600416E-1,-3.010524064E-2,6.221624464E-2,-1.166947652E-2
8.537140416E-1,-3.172977269E-2,4.722865298E-2,-1.985855028E-2
8.636690417E-1,-3.477935866E-2,1.669844054E-2,-2.012300119E-2
8.736230417E-1,-1.872708276E-2,-1.772069931E-2,-1.392321475E-2
8.835780416E-1,-5.599297117E-3,-3.860547394E-2,-1.080358773E-2
8.935320416E-1,-2.713733818E-3,-4.935712367E-2,-2.424747217E-3
9.034870417E-1,-1.273787208E-2,-4.962317273E-2,-2.335531637E-3
9.134420417E-1,-2.993742749E-2,-3.624942154E-2,-3.393848892E-3
9.233960416E-1,-4.685622454E-2,-4.171689227E-2,6.992212962E-3
9.333510416E-1,-6.253948063E-2,-5.232890323E-2,9.781027213E-3
9.433050416E-1,-8.311745524E-2,-5.483547226E-2,2.519513667E-2
9.532600417E-1,-1.010686010E-1,-4.742457718E-2,3.784599900E-2
9.632140417E-1,-1.189458668E-1,-3.960473835E-2,4.628395662E-2
9.731690416E-1,-1.442614198E-1,-4.463766143E-2,5.148249865E-2
9.831240416E-1,-1.738544703E-1,-5.825547129E-2,6.064750254E-2
9.930780416E-1,-1.989651918E-1,-7.371447235E-2,6.316809356E-2
1.003033042E0,-2.134157717E-1,-8.729978651E-2,6.063995510E-2
1.012987042E0,-2.171560824E-1,-9.233605117E-2,5.604778230E-2
1.022942042E0,-2.111141682E-1,-1.039849818E-1,5.725419521E-2
1.032896042E0,-2.017571181E-1,-1.171879470E-1,5.480980128E-2
1.042851042E0,-1.903822273E-1,-1.408163160E-1,4.728610441E-2
1.052806042E0,-1.743555963E-1,-1.467602253E-1,4.650100321E-2
1.062760042E0,-1.647338569E-1,-1.457990855E-1,4.846295714E-2
1.072715042E0,-1.515720487E-1,-1.407167017E-1,4.468780383E-2
1.082669042E0,-1.463820785E-1,-1.213627011E-1,3.871140257E-2
1.092624042E0,-1.334826350E-1,-1.039761156E-1,3.163465858E-2
1.102578042E0,-1.267187446E-1,-9.704949707E-2,2.727266960E-2
1.112533042E0,-1.225868762E-1,-9.395666420E-2,2.072386257E-2
1.122488042E0,-1.219410598E-1,-8.642311394E-2,1.954088733E-2
1.132442042E0,-1.177937090E-1,-8.272229135E-2,1.844162494E-2
1.142397042E0,-1.086252481E-1,-6.763494760E-2,1.891966164E-2
1.152351042E0,-1.027221531E-1,-5.452003703E-2,2.089577913E-2
1.162306042E0,-8.923137188E-2,-5.371469632E-2,1.930800080E-2
1.172260042E0,-7.449893653E-2,-6.567987800E-2,1.611586288E-2
1.182215042E0,-6.505563110E-2,-7.949955761E-2,1.588203572E-2
1.192170042E0,-5.427818745E-2,-8.372306824E-2,1.636452973E-2
1.202124042E0,-5.007784814E-2,-7.802870125E-2,1.921144873E-2
1.212078917E0,-4.694839939E-2,-6.885457039E-2,1.878069341E-2
1.222032917E0,-4.217175394E-2,-5.995214731E-2,1.198430732E-2
1.231987917E0,-4.201237112E-2,-5.788996816E-2,1.650006324E-2
1.241941917E0,-3.613131493E-2,-4.961020127E-2,1.076787617E-2
1.251896917E0,-1.684433594E-2,-5.207054317E-2,8.902283385E-3
1.261851917E0,5.339263007E-3,-5.075654015E-2,9.302023798E-3
1.271805917E0,2.870374545E-2,-3.138786182E-2,7.334721275E-3
1.281760917E0,3.865624219E-2,-1.818044670E-2,1.014222577E-2
1.291714917E0,4.126288369E-2,-1.369460486E-2,7.755642757E-3
1.301669917E0,3.173169494E-2,-2.111310698E-2,4.018563777E-4
1.311623917E0,2.146343887E-2,-2.260989510E-2,-2.185425255E-3
1.321578917E0,1.220362913E-2,-1.161583327E-2,-2.043745015E-3
1.331533917E0,5.816009361E-3,-9.264063090E-3,-4.171080887E-3
1.341487917E0,2.047370188E-3,-1.712944172E-2,4.768352024E-3
1.351442917E0,-2.509198850E-3,-1.915595680E-2,6.951030344E-3
1.361396917E0,-1.807777211E-2,-2.014505491E-2,4.895336460E-3
1.371351917E0,-2.871418186E-2,-2.187102102E-2,7.465848699E-3
1.381306917E0,-3.610019013E-2,-2.086647600E-2,6.247452460E-3
1.391260917E0,-4.046836495E-2,-2.278634347E-2,3.981242888E-3
1.401215917E0,-3.520835564E-2,-2.320605703E-2,5.447845906E-3
1.411169917E0,-2.781083062E-2,-2.662251703E-2,2.206489677E-3
1.421124917E0,-2.595247701E-2,-3.422557563E-2,-2.174410503E-3
1.431078917E0,-2.024657279E-2,-3.796073422E-2,-7.623253390E-3
1.441033917E0,-1.961060986E-2,-3.074623458E-2,-6.631492637E-3
1.450988917E0,-2.284370735E-2,-3.447047248E-2,-9.794002399E-3
1.460942917E0,-2.676174976E-2,-5.771214515E-2,-1.421032101E-2
1.470897917E0,-2.394022979E-2,-7.239403576E-2,-1.070102677E-2
1.480851917E0,-1.330409758E-2,-6.203088537E-2,-1.391998958E-2
