"event","experiment time","system time","system time text"
"START",0.000000000E0,1694303665.220,"2023-09-10 08:54:25.220 UTC+09:00"
"PAUSE",6.178423335E1,1694303727.004,"2023-09-10 08:55:27.004 UTC+09:00"
