"event","experiment time","system time","system time text"
"START",0.000000000E0,1686012138.256,"2023-06-06 09:42:18.256 UTC+09:00"
"PAUSE",1.591145596E1,1686012154.168,"2023-06-06 09:42:34.168 UTC+09:00"
