"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.518518910E1,1.371154828E2,1.801147833E2,NaN,NaN,2.238299942E1,2.885441065E0
7.178668280E-1,3.518518540E1,1.371154900E2,1.799147708E2,NaN,NaN,2.115099907E1,1.539249778E0
2.080286683E1,3.518520310E1,1.371155248E2,1.827146757E2,NaN,NaN,1.266199970E1,1.481343031E0
4.207986683E1,3.518521460E1,1.371155278E2,1.828146668E2,NaN,NaN,1.252900028E1,1.282258391E0
6.080986683E1,3.518520930E1,1.371154848E2,1.856147652E2,NaN,NaN,1.458300018E1,1.096396208E0
8.079786683E1,3.518519770E1,1.371155213E2,1.856146818E2,NaN,NaN,1.381799984E1,1.300055623E0
