"event","experiment time","system time","system time text"
"START",0.000000000E0,1694303586.780,"2023-09-10 08:53:06.780 UTC+09:00"
"PAUSE",3.946752866E1,1694303626.247,"2023-09-10 08:53:46.247 UTC+09:00"
