"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.287619352E-1,3.564351011E1,1.397938149E2,1.660929108E1,NaN,NaN,2.805919343E2,8.772125244E0
3.303709030E-1,3.564351011E1,1.397938149E2,1.660929108E1,NaN,NaN,2.805919381E2,6.366384983E0
1.118421698E1,3.564350356E1,1.397938107E2,1.660929108E1,NaN,NaN,4.228415009E2,8.763115883E0
1.118697596E1,3.564350356E1,1.397938107E2,1.660929108E1,NaN,NaN,4.228415100E2,6.368754387E0
1.125539994E1,3.564350352E1,1.397938106E2,1.660929108E1,NaN,NaN,4.228471220E2,5.430162430E0
3.847929502E1,3.564350683E1,1.397938251E2,1.660929108E1,NaN,NaN,3.500000000E1,9.050182343E0
5.549422193E1,3.564351290E1,1.397938327E2,1.660929108E1,NaN,NaN,3.500000000E1,8.969550133E0
7.733412790E1,3.564351396E1,1.397938344E2,1.660929108E1,NaN,NaN,3.500000000E1,9.034129143E0
9.255125093E1,3.564350911E1,1.397938195E2,1.660929108E1,NaN,NaN,3.500000000E1,8.942384720E0
1.082304469E2,3.564351525E1,1.397938230E2,1.660929108E1,NaN,NaN,3.500000000E1,8.962278366E0
1.221158359E2,3.564354114E1,1.397938628E2,1.660929108E1,NaN,NaN,3.500000000E1,8.940600395E0
1.705719739E2,3.564352822E1,1.397938266E2,1.660929108E1,NaN,NaN,3.500000000E1,9.233727455E0
1.950174140E2,3.564351653E1,1.397938260E2,1.660929108E1,NaN,NaN,3.500000000E1,9.122726440E0
2.183069350E2,3.564352818E1,1.397938303E2,1.660929108E1,NaN,NaN,3.500000000E1,9.126538277E0
2.422959189E2,3.564354105E1,1.397938326E2,1.660929108E1,NaN,NaN,5.421909294E2,9.130125046E0
2.423547050E2,3.564354107E1,1.397938326E2,1.660929108E1,NaN,NaN,5.421938758E2,6.614447117E0
2.423552899E2,3.564354107E1,1.397938326E2,1.660929108E1,NaN,NaN,5.421938761E2,5.406272888E0
2.423556370E2,3.564354107E1,1.397938326E2,1.660929108E1,NaN,NaN,5.421938762E2,4.684731483E0
2.442243279E2,3.564354189E1,1.397938328E2,1.660929108E1,NaN,NaN,5.451770165E2,7.363726139E0
2.481626070E2,3.564354352E1,1.397938331E2,1.660929108E1,NaN,NaN,5.587451959E2,8.271502495E0
2.671689579E2,3.564357522E1,1.397938970E2,1.660929108E1,NaN,NaN,8.249400581E2,9.100341797E0
2.736457399E2,3.564350932E1,1.397938195E2,1.660929108E1,NaN,NaN,3.500000000E1,8.661831856E0
2.837474920E2,3.564351084E1,1.397938263E2,1.660929108E1,NaN,NaN,3.455868141E2,8.875792503E0
2.870988870E2,3.564351370E1,1.397938344E2,1.660929108E1,NaN,NaN,3.500000000E1,8.250034332E0
3.007683469E2,3.564351625E1,1.397938440E2,1.660929108E1,NaN,NaN,4.605550204E2,9.015769958E0
3.335214939E2,3.564351314E1,1.397938325E2,1.660929108E1,NaN,NaN,3.500000000E1,9.257370949E0
3.566237110E2,3.564352175E1,1.397938344E2,1.660929108E1,NaN,NaN,3.500000000E1,9.199707985E0
3.706490790E2,3.564352687E1,1.397938363E2,1.660929108E1,NaN,NaN,2.984798264E2,9.050283432E0
3.788499540E2,3.564352939E1,1.397938372E2,1.660929108E1,NaN,NaN,3.761100140E2,8.833784103E0
3.911462630E2,3.564353261E1,1.397938384E2,1.660929108E1,NaN,NaN,5.130606886E2,9.010018349E0
3.970931259E2,3.564353395E1,1.397938389E2,1.660929108E1,NaN,NaN,5.336095823E2,8.671404839E0
4.005744339E2,3.564352233E1,1.397938231E2,1.660929108E1,NaN,NaN,3.500000000E1,8.297522545E0
4.078176119E2,3.564352819E1,1.397938298E2,1.660929108E1,NaN,NaN,3.500000000E1,8.772385597E0
4.160271670E2,3.564352087E1,1.397938372E2,1.660929108E1,NaN,NaN,3.500000000E1,8.836945534E0
4.247185709E2,3.564352703E1,1.397938315E2,1.660929108E1,NaN,NaN,3.500000000E1,8.878806114E0
4.344902320E2,3.564351558E1,1.397938339E2,1.660929108E1,NaN,NaN,3.500000000E1,8.934676170E0
