"event","experiment time","system time","system time text"
"START",0.000000000E0,1684287664.067,"2023-05-17 10:41:04.067 UTC+09:00"
"PAUSE",3.524166377E1,1684287699.309,"2023-05-17 10:41:39.309 UTC+09:00"
