"event","experiment time","system time","system time text"
"START",0.000000000E0,1684287564.705,"2023-05-17 10:39:24.705 UTC+09:00"
"PAUSE",2.841072215E1,1684287593.115,"2023-05-17 10:39:53.115 UTC+09:00"
