"event","experiment time","system time","system time text"
"START",0.000000000E0,1703391584.954,"2023-12-24 13:19:44.954 UTC+09:00"
"PAUSE",2.210981113E1,1703391607.064,"2023-12-24 13:20:07.064 UTC+09:00"
