"event","experiment time","system time","system time text"
"START",0.000000000E0,1693663049.806,"2023-09-02 22:57:29.806 UTC+09:00"
"PAUSE",4.060509230E1,1693663090.412,"2023-09-02 22:58:10.412 UTC+09:00"
