"Time (s)","Illuminance (lx)"
0.000000000E0,4.244082520E3
9.274037770E-1,8.138004883E3
4.716111785E0,1.207534180E4
5.119549285E0,1.107746191E4
1.325136740E1,1.257305566E4
2.190211447E1,9.881606445E3
2.243447531E1,1.063425098E4
2.270063107E1,1.159990430E4
3.319817746E1,1.301867383E4
5.096416086E1,1.072509180E4
5.176247531E1,1.230036133E4
6.087740085E1,4.100444824E3
