"event","experiment time","system time","system time text"
"START",0.000000000E0,1682677007.484,"2023-04-28 19:16:47.484 UTC+09:00"
"PAUSE",5.293718420E1,1682677060.422,"2023-04-28 19:17:40.422 UTC+09:00"
