"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.263406839E1,3.567977282E1,1.397679233E2,1.854385505E1,3.524326086E-1,1.960683250E1,5.492538929E0,4.098515987E0
5.363410339E1,3.567977299E1,1.397679235E2,1.891468746E1,0.000000000E0,1.960683250E1,6.637010098E0,4.098911285E0
5.463408339E1,3.567977318E1,1.397679237E2,1.913218131E1,0.000000000E0,1.960683250E1,6.454146385E0,4.094227314E0
5.563416439E1,3.567978134E1,1.397679139E2,1.940711963E1,4.538322985E-1,1.965574455E1,8.024107933E0,4.024179459E0
5.663417139E1,3.567978137E1,1.397679140E2,1.937128559E1,0.000000000E0,1.965574455E1,9.352620125E0,4.027587414E0
5.763413039E1,3.567979224E1,1.397679045E2,1.856386724E1,0.000000000E0,1.965574455E1,6.003592491E0,3.961386681E0
5.863414839E1,3.567980177E1,1.397679051E2,1.822633818E1,0.000000000E0,1.965574455E1,6.014032364E0,3.902586699E0
5.963416439E1,3.567980197E1,1.397679053E2,1.839259487E1,0.000000000E0,1.965574455E1,6.053652763E0,3.912575960E0
6.063419339E1,3.567981230E1,1.397679052E2,1.779273541E1,0.000000000E0,1.965574455E1,5.675354958E0,3.852663279E0
6.163419739E1,3.567981246E1,1.397679053E2,1.785095505E1,0.000000000E0,1.965574455E1,5.657484531E0,3.867500067E0
6.263420839E1,3.567982180E1,1.397679062E2,1.716726117E1,4.622046649E-1,2.391770744E1,5.958508968E0,3.814049006E0
6.363422439E1,3.567982788E1,1.397679078E2,1.719946206E1,6.304821968E-1,2.123206902E1,6.025948048E0,3.763721704E0
6.463422839E1,3.567982797E1,1.397679078E2,1.715659469E1,0.000000000E0,2.123206902E1,6.020214081E0,3.780528545E0
6.563426939E1,3.567982995E1,1.397679089E2,1.703825952E1,0.000000000E0,2.123206902E1,5.909975052E0,3.795699835E0
6.663444139E1,3.567984465E1,1.397679144E2,1.642781483E1,4.122699201E-1,2.018675041E1,5.505180359E0,3.732956886E0
6.763428339E1,3.567986060E1,1.397679217E2,1.588633074E1,5.667244792E-1,2.410175323E1,6.067351818E0,3.674036026E0
6.863429439E1,3.567987866E1,1.397679300E2,1.565271041E1,3.239859343E-1,2.804701233E1,6.384810448E0,3.614690542E0
6.963431239E1,3.567988351E1,1.397679332E2,1.569476689E1,0.000000000E0,2.804701233E1,5.923652172E0,3.637614727E0
7.063436839E1,3.567988794E1,1.397679342E2,1.574923542E1,0.000000000E0,2.804701233E1,6.293235779E0,3.662441254E0
7.163434239E1,3.567989192E1,1.397679350E2,1.571796345E1,4.320558608E-1,3.617588043E1,6.472205639E0,3.685946941E0
