"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.068997383E-2,3.564350890E1,1.397938233E2,1.660929108E1,NaN,NaN,3.500000000E1,1.040238857E1
2.022853971E0,3.564352877E1,1.397938276E2,1.660929108E1,NaN,NaN,3.500000000E1,9.484297752E0
1.020085001E1,3.564352074E1,1.397938324E2,1.660929108E1,NaN,NaN,3.500000000E1,9.806196213E0
1.758156800E1,3.564352167E1,1.397938370E2,1.660929108E1,NaN,NaN,3.500000000E1,9.747662544E0
2.363257504E1,3.564352313E1,1.397938344E2,1.660929108E1,NaN,NaN,3.500000000E1,9.417765617E0
5.574811804E1,3.564353322E1,1.397938322E2,1.660929108E1,NaN,NaN,3.500000000E1,1.027494717E1
8.034378600E1,3.564352278E1,1.397938366E2,1.660929108E1,NaN,NaN,3.500000000E1,9.941126823E0
9.239323199E1,3.564352250E1,1.397938233E2,1.660929108E1,NaN,NaN,3.500000000E1,9.858670235E0
9.977414703E1,3.564352801E1,1.397938295E2,1.660929108E1,NaN,NaN,3.500000000E1,9.787275314E0
1.228289790E2,3.564352480E1,1.397938408E2,1.660929108E1,NaN,NaN,3.500000000E1,1.037043762E1
1.310155849E2,3.564353533E1,1.397938663E2,1.660929108E1,NaN,NaN,3.500000000E1,9.788658142E0
1.551543059E2,3.564352558E1,1.397938426E2,1.660929108E1,NaN,NaN,3.500000000E1,1.011473083E1
1.728412499E2,3.564353379E1,1.397938620E2,1.660929108E1,NaN,NaN,3.500000000E1,9.856209755E0
2.098438150E2,3.564352440E1,1.397938458E2,1.660929108E1,NaN,NaN,3.500000000E1,1.052036953E1
2.179419090E2,3.564352172E1,1.397938349E2,1.660929108E1,NaN,NaN,3.500000000E1,9.903636932E0
2.257164640E2,3.564352181E1,1.397938372E2,1.660929108E1,NaN,NaN,3.500000000E1,9.836357117E0
2.338160040E2,3.564352448E1,1.397938397E2,1.660929108E1,NaN,NaN,3.500000000E1,9.496251106E0
2.500833850E2,3.564353196E1,1.397938336E2,1.660929108E1,NaN,NaN,3.500000000E1,9.014085770E0
2.603579969E2,3.564352518E1,1.397938400E2,1.660929108E1,NaN,NaN,3.500000000E1,1.005103683E1
2.629694140E2,3.564352462E1,1.397938401E2,1.660929108E1,NaN,NaN,3.500000000E1,9.027315140E0
2.766575609E2,3.564352087E1,1.397938608E2,1.660929108E1,NaN,NaN,3.500000000E1,1.018210793E1
2.916814220E2,3.564352085E1,1.397938611E2,1.660929108E1,NaN,NaN,3.500000000E1,7.414482117E0
3.003179580E2,3.564352169E1,1.397938382E2,1.660929108E1,NaN,NaN,3.500000000E1,9.865465164E0
3.076708000E2,3.564352186E1,1.397938364E2,1.660929108E1,NaN,NaN,3.500000000E1,9.861870766E0
3.254000940E2,3.564352814E1,1.397938301E2,1.660929108E1,NaN,NaN,3.500000000E1,1.035864258E1
3.336301560E2,3.564354721E1,1.397938699E2,1.660929108E1,NaN,NaN,3.500000000E1,9.965358734E0
3.487095129E2,3.564353719E1,1.397938705E2,1.660929108E1,NaN,NaN,3.500000000E1,1.030203915E1
3.578842020E2,3.564353396E1,1.397938324E2,1.660929108E1,NaN,NaN,3.500000000E1,1.003414440E1
3.729098650E2,3.564353405E1,1.397938316E2,1.660929108E1,NaN,NaN,3.500000000E1,9.030467033E0
3.879286220E2,3.564353408E1,1.397938319E2,1.660929108E1,NaN,NaN,3.500000000E1,6.950825214E0
3.914007930E2,3.564353665E1,1.397938612E2,1.660929108E1,NaN,NaN,3.500000000E1,8.574198723E0
3.987844090E2,3.564352871E1,1.397938247E2,1.660929108E1,NaN,NaN,3.500000000E1,9.860565186E0
4.138104560E2,3.564352840E1,1.397938230E2,1.660929108E1,NaN,NaN,3.500000000E1,8.154592514E0
4.287442170E2,3.564352499E1,1.397938400E2,1.660929108E1,NaN,NaN,3.500000000E1,9.943108559E0
4.363222950E2,3.564352472E1,1.397938412E2,1.660929108E1,NaN,NaN,3.500000000E1,9.946120262E0
4.535881470E2,3.564352762E1,1.397938288E2,1.660929108E1,NaN,NaN,3.500000000E1,9.866760254E0
4.690390240E2,3.564352498E1,1.397938406E2,1.660929108E1,NaN,NaN,3.500000000E1,1.037212753E1
4.772915530E2,3.564352479E1,1.397938409E2,1.660929108E1,NaN,NaN,3.500000000E1,1.003401661E1
4.846047159E2,3.564352198E1,1.397938344E2,1.660929108E1,NaN,NaN,3.500000000E1,9.942342758E0
4.927492840E2,3.564353354E1,1.397938326E2,1.660929108E1,NaN,NaN,3.500000000E1,1.000368404E1
5.016387160E2,3.564352118E1,1.397938443E2,1.660929108E1,NaN,NaN,3.500000000E1,1.007586575E1
5.098293890E2,3.564352155E1,1.397938349E2,1.660929108E1,NaN,NaN,3.500000000E1,1.003062820E1
5.175516340E2,3.564352805E1,1.397938267E2,1.660929108E1,NaN,NaN,3.500000000E1,9.992702484E0
5.257814730E2,3.564351495E1,1.397938283E2,1.660929108E1,NaN,NaN,3.500000000E1,1.004294586E1
5.330267019E2,3.564352121E1,1.397938372E2,1.660929108E1,NaN,NaN,3.500000000E1,9.955513000E0
5.412303960E2,3.564353381E1,1.397938329E2,1.660929108E1,NaN,NaN,3.500000000E1,1.002945805E1
5.566774240E2,3.564352505E1,1.397938406E2,1.660929108E1,NaN,NaN,3.500000000E1,1.040177155E1
5.648590810E2,3.564353383E1,1.397938326E2,1.660929108E1,NaN,NaN,3.500000000E1,1.005396461E1
5.722430199E2,3.564352853E1,1.397938301E2,1.660929108E1,NaN,NaN,3.500000000E1,9.974592209E0
5.804973509E2,3.564352483E1,1.397938406E2,1.660929108E1,NaN,NaN,3.500000000E1,1.005768871E1
5.878048770E2,3.564353371E1,1.397938331E2,1.660929108E1,NaN,NaN,3.500000000E1,9.975411415E0
5.960532430E2,3.564352019E1,1.397938327E2,1.660929108E1,NaN,NaN,3.500000000E1,1.006550312E1
6.071197029E2,3.564353357E1,1.397938325E2,1.660929108E1,NaN,NaN,3.500000000E1,1.026479816E1
