"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.701857749629000E9,"2023-12-06 19:15:49.629 UTC+09:00"
"PAUSE",6.329922116666567E2,1.701858382617000E9,"2023-12-06 19:26:22.617 UTC+09:00"
