"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.518517950E1,1.371154757E2,1.856148073E2,NaN,NaN,1.483699989E1,1.000000000E0
8.692163720E-1,3.518516960E1,1.371154474E2,1.856148842E2,NaN,NaN,1.337100029E1,1.338452101E0
2.082921637E1,3.518518130E1,1.371154972E2,1.856147525E2,NaN,NaN,1.397200012E1,1.000000000E0
3.710521637E1,3.518520310E1,1.371155400E2,1.827146378E2,NaN,NaN,1.202000046E1,1.065943360E0
3.946121637E1,3.518519580E1,1.371155732E2,1.827145598E2,NaN,NaN,1.148299980E1,1.149599552E0
5.882921637E1,3.518520960E1,1.371155647E2,1.828145781E2,NaN,NaN,1.352900028E1,1.555691123E0
