"Time (s)","Illuminance (lx)"
0.000000000E0,1.633437500E2
6.102667260E-1,1.781074982E2
7.598939240E-1,2.005175018E2
9.095113550E-1,2.262287445E2
1.059139285E0,2.466962433E2
7.714002566E0,3.009262390E2
