"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.024179935E-1,3.564344105E1,1.397938523E2,1.660929108E1,NaN,NaN,4.265356406E2,9.736019135E0
3.037400246E-1,3.564344105E1,1.397938523E2,1.660929108E1,NaN,NaN,4.265356423E2,6.998511791E0
3.197407401E1,3.564352482E1,1.397938406E2,1.660929108E1,NaN,NaN,3.500000000E1,8.021199226E0
4.007402301E1,3.564353332E1,1.397938328E2,1.660929108E1,NaN,NaN,3.500000000E1,9.108370781E0
5.634888303E1,3.564353415E1,1.397938319E2,1.660929108E1,NaN,NaN,3.500000000E1,9.226621628E0
6.449408495E1,3.564352597E1,1.397938394E2,1.660929108E1,NaN,NaN,3.500000000E1,9.183493614E0
1.067346910E2,3.564352485E1,1.397938404E2,1.660929108E1,NaN,NaN,3.500000000E1,9.809209824E0
1.485079041E2,3.564352813E1,1.397938301E2,1.660929108E1,NaN,NaN,3.500000000E1,9.954012871E0
1.567702060E2,3.564350671E1,1.397938283E2,1.660929108E1,NaN,NaN,3.500000000E1,9.412435532E0
1.948782120E2,3.564349025E1,1.397938274E2,1.660929108E1,NaN,NaN,1.719200435E2,9.910893440E0
2.011914170E2,3.564349025E1,1.397938274E2,1.660929108E1,NaN,NaN,1.723482721E2,8.761780739E0
2.411293221E2,3.564331634E1,1.397944438E2,1.660929108E1,NaN,NaN,2.000000000E3,9.361258507E0
2.419429131E2,3.564351791E1,1.397938366E2,1.660929108E1,NaN,NaN,3.500000000E1,7.712868214E0
2.431387351E2,3.564351810E1,1.397938363E2,1.660929108E1,NaN,NaN,3.500000000E1,7.672489166E0
2.576233180E2,3.564352189E1,1.397938343E2,1.660929108E1,NaN,NaN,3.500000000E1,9.659082413E0
2.665789580E2,3.564352156E1,1.397938378E2,1.660929108E1,NaN,NaN,3.500000000E1,9.210758209E0
2.747741820E2,3.564352465E1,1.397938403E2,1.660929108E1,NaN,NaN,3.500000000E1,9.405089378E0
2.829601970E2,3.564352479E1,1.397938406E2,1.660929108E1,NaN,NaN,3.500000000E1,9.439533234E0
2.940364100E2,3.564352479E1,1.397938406E2,1.660929108E1,NaN,NaN,1.095793888E2,9.552664757E0
3.003258100E2,3.564352479E1,1.397938406E2,1.660929108E1,NaN,NaN,1.113238042E2,8.906652451E0
3.075394289E2,3.564352479E1,1.397938406E2,1.660929108E1,NaN,NaN,1.558927032E2,9.353367805E0
3.137758991E2,3.564352479E1,1.397938406E2,1.660929108E1,NaN,NaN,2.071846635E2,9.280816078E0
3.270315350E2,3.564352138E1,1.397938414E2,1.660929108E1,NaN,NaN,3.500000000E1,9.711939812E0
3.424810370E2,3.564351762E1,1.397938505E2,1.660929108E1,NaN,NaN,3.500000000E1,9.788444519E0
3.507419020E2,3.564351605E1,1.397938344E2,1.660929108E1,NaN,NaN,3.500000000E1,9.491476059E0
3.580481110E2,3.564352798E1,1.397938298E2,1.660929108E1,NaN,NaN,3.500000000E1,9.400351524E0
3.663053880E2,3.564351880E1,1.397938321E2,1.660929108E1,NaN,NaN,3.500000000E1,9.470198631E0
3.736341610E2,3.564352097E1,1.397938414E2,1.660929108E1,NaN,NaN,3.500000000E1,9.403784752E0
3.819563850E2,3.564352822E1,1.397938233E2,1.660929108E1,NaN,NaN,3.500000000E1,9.488095284E0
3.891941611E2,3.564353401E1,1.397938317E2,1.660929108E1,NaN,NaN,3.500000000E1,9.404858589E0
3.974080930E2,3.564352843E1,1.397938270E2,1.660929108E1,NaN,NaN,3.500000000E1,9.488162041E0
4.249199400E2,3.564351375E1,1.397938346E2,1.660929108E1,NaN,NaN,3.500000000E1,9.998915672E0
4.373799900E2,3.564350978E1,1.397938419E2,1.660929108E1,NaN,NaN,2.658807473E2,9.726958275E0
4.470567940E2,3.564350719E1,1.397938466E2,1.660929108E1,NaN,NaN,3.766895089E2,9.618051529E0
4.544364890E2,3.564350546E1,1.397938498E2,1.660929108E1,NaN,NaN,4.392509900E2,9.458694458E0
4.606809970E2,3.564350414E1,1.397938522E2,1.660929108E1,NaN,NaN,4.834357109E2,9.337218285E0
4.707897410E2,3.564352407E1,1.397938307E2,1.660929108E1,NaN,NaN,3.500000000E1,9.631923676E0
4.789751610E2,3.564352459E1,1.397938261E2,1.660929108E1,NaN,NaN,3.500000000E1,9.525588989E0
4.863556230E2,3.564352182E1,1.397938340E2,1.660929108E1,NaN,NaN,3.500000000E1,9.460684776E0
5.016854630E2,3.564351971E1,1.397938329E2,1.660929108E1,NaN,NaN,3.500000000E1,9.846112251E0
5.099394370E2,3.564351301E1,1.397938304E2,1.660929108E1,NaN,NaN,3.500000000E1,9.551217079E0
5.172548760E2,3.564351239E1,1.397938293E2,1.660929108E1,NaN,NaN,3.500000000E1,9.470901489E0
5.255106080E2,3.564350968E1,1.397938184E2,1.660929108E1,NaN,NaN,3.500000000E1,9.551905632E0
5.367936020E2,3.564352478E1,1.397938402E2,1.660929108E1,NaN,NaN,3.500000000E1,9.719143867E0
5.372088780E2,3.564352504E1,1.397938407E2,1.660929108E1,NaN,NaN,3.500000000E1,7.533808708E0
5.521312360E2,3.564352212E1,1.397938345E2,1.660929108E1,NaN,NaN,3.500000000E1,9.839218140E0
5.603849070E2,3.564351556E1,1.397938231E2,1.660929108E1,NaN,NaN,3.500000000E1,9.568413734E0
5.676988980E2,3.564351719E1,1.397938313E2,1.660929108E1,NaN,NaN,3.500000000E1,9.488120079E0
5.760436940E2,3.564352126E1,1.397938391E2,1.660929108E1,NaN,NaN,3.500000000E1,9.576796532E0
5.832966580E2,3.564352914E1,1.397938636E2,1.660929108E1,NaN,NaN,3.500000000E1,9.491712570E0
5.914939560E2,3.564353395E1,1.397938338E2,1.660929108E1,NaN,NaN,3.500000000E1,9.573793411E0
5.987413540E2,3.564352824E1,1.397938226E2,1.660929108E1,NaN,NaN,3.500000000E1,9.498612404E0
6.069389920E2,3.564352459E1,1.397938405E2,1.660929108E1,NaN,NaN,3.500000000E1,9.581625938E0
6.157452160E2,3.564352143E1,1.397938393E2,1.660929108E1,NaN,NaN,3.500000000E1,9.638806343E0
6.241207750E2,3.564352179E1,1.397938374E2,1.660929108E1,NaN,NaN,3.500000000E1,9.599950790E0
6.316254010E2,3.564352718E1,1.397938326E2,1.660929108E1,NaN,NaN,3.500000000E1,9.533353806E0
6.398852270E2,3.564352017E1,1.397938324E2,1.660929108E1,NaN,NaN,3.500000000E1,9.599506378E0
6.471377460E2,3.564352116E1,1.397938387E2,1.660929108E1,NaN,NaN,3.500000000E1,9.519499779E0
6.553353500E2,3.564352155E1,1.397938269E2,1.660929108E1,NaN,NaN,3.500000000E1,9.602295876E0
6.645962410E2,3.564352476E1,1.397938403E2,1.660929108E1,NaN,NaN,3.500000000E1,9.673056602E0
6.733677900E2,3.564352196E1,1.397938348E2,1.660929108E1,NaN,NaN,3.500000000E1,9.655310631E0
6.915397120E2,3.564351973E1,1.397938327E2,1.660929108E1,NaN,NaN,3.500000000E1,1.001348305E1
7.068547130E2,3.564352790E1,1.397938302E2,1.660929108E1,NaN,NaN,3.500000000E1,9.796383858E0
7.142334980E2,3.564352035E1,1.397938324E2,1.660929108E1,NaN,NaN,3.500000000E1,9.569647789E0
7.295613019E2,3.564353687E1,1.397938701E2,1.660929108E1,NaN,NaN,3.500000000E1,9.961692810E0
7.387179670E2,3.564352519E1,1.397938414E2,1.660929108E1,NaN,NaN,3.500000000E1,9.706996918E0
7.460981309E2,3.564352116E1,1.397938408E2,1.660929108E1,NaN,NaN,3.500000000E1,9.571220398E0
7.543514611E2,3.564351971E1,1.397938330E2,1.660929108E1,NaN,NaN,3.500000000E1,9.646442413E0
7.616634210E2,3.564352399E1,1.397938453E2,1.660929108E1,NaN,NaN,3.500000000E1,9.572021484E0
7.706609640E2,3.564353233E1,1.397938601E2,1.660929108E1,NaN,NaN,3.500000000E1,9.713291168E0
7.847788010E2,3.564354409E1,1.397938791E2,1.660929108E1,NaN,NaN,2.538063588E2,9.945662498E0
7.911060330E2,3.564354857E1,1.397938863E2,1.660929108E1,NaN,NaN,3.029924123E2,9.506193161E0
7.997517960E2,3.564353729E1,1.397938702E2,1.660929108E1,NaN,NaN,3.500000000E1,9.689137459E0
8.081279260E2,3.564352193E1,1.397938349E2,1.660929108E1,NaN,NaN,3.500000000E1,9.682774544E0
