"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.692521054012000E9,"2023-08-20 17:44:14.012 UTC+09:00"
"PAUSE",2.405741677499900E2,1.692521294586000E9,"2023-08-20 17:48:14.586 UTC+09:00"
