"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.594780170E-1,3.518516730E1,1.371156225E2,1.803144616E2,NaN,NaN,1.167899990E1,1.227050304E0
2.075647802E1,3.518517710E1,1.371156112E2,1.804144742E2,NaN,NaN,1.304500008E1,1.405987620E0
