"Time (s)","Illuminance (lx)"
0.000000000E0,4.023962402E2
3.713259043E0,2.667862549E2
6.610121592E0,2.577499866E0
6.959260019E0,3.431249857E0
8.517846201E0,4.392499924E0
1.290781788E1,1.154999971E0
1.984254176E1,1.921125031E1
2.050763062E1,2.360524902E2
