"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.877897500E-1,9.718240814E0,3.519181824E-1,9.193881226E-1
7.977447500E-1,9.706565094E0,3.116519165E-1,1.022523651E0
8.076997500E-1,9.636510773E0,2.761756897E-1,1.126707001E0
8.176537500E-1,9.551337891E0,2.547702026E-1,1.106499023E0
8.276087500E-1,9.531878357E0,2.360591125E-1,9.830058289E-1
8.375627500E-1,9.444909210E0,2.246827698E-1,9.190887451E-1
8.475177500E-1,9.421258392E0,1.630110168E-1,1.197360077E0
8.574727500E-1,9.659413147E0,5.493576050E-2,1.441053314E0
8.674267500E-1,9.756411438E0,1.571731567E-2,1.316212921E0
8.773817500E-1,9.730066223E0,5.987548828E-3,1.363215179E0
8.873367500E-1,9.868228912E0,-9.131011963E-3,1.442400513E0
8.972907500E-1,9.998009033E0,1.811233521E-2,1.238374786E0
9.072457500E-1,9.947114868E0,9.041198730E-2,1.037941589E0
9.171997500E-1,9.798324280E0,2.529739380E-1,8.526269531E-1
9.271547500E-1,9.704619141E0,4.643344116E-1,7.975415039E-1
9.371097500E-1,9.666298828E0,7.123686218E-1,7.125183105E-1
9.470637500E-1,9.681716766E0,9.241781616E-1,6.674620056E-1
9.570187500E-1,9.757309570E0,1.070274353E0,7.679031372E-1
9.669727500E-1,9.837542725E0,1.159638519E0,8.632548523E-1
9.769277500E-1,9.955347748E0,1.284628601E0,8.657995605E-1
9.868827500E-1,1.004082001E1,1.323248291E0,9.409432983E-1
9.968367500E-1,9.999505920E0,1.215023346E0,1.055155792E0
1.006791750E0,9.875713348E0,1.100661163E0,1.074465637E0
1.016745750E0,9.682914276E0,1.014739838E0,9.663903809E-1
1.026700750E0,9.493108978E0,9.494755554E-1,8.671467590E-1
1.036655750E0,9.545050964E0,8.484356689E-1,9.412426758E-1
1.046609750E0,9.389225006E0,8.406518555E-1,1.070723419E0
1.056564750E0,9.350605316E0,8.517288208E-1,8.529263306E-1
1.066518750E0,9.556427307E0,8.223898315E-1,8.080197144E-1
1.076473750E0,9.649084625E0,8.846603394E-1,8.931925964E-1
1.086428750E0,9.622140656E0,8.460406494E-1,9.839039612E-1
1.096382750E0,9.719737701E0,8.126600647E-1,1.198557587E0
1.106337750E0,1.002001328E1,7.562274170E-1,1.371897125E0
1.116291750E0,1.028675858E1,6.487509155E-1,1.475332031E0
1.126246750E0,1.039872574E1,5.451663208E-1,1.444047089E0
1.136201750E0,1.041025177E1,5.402265930E-1,1.298100586E0
1.146155750E0,1.029424301E1,5.459147644E-1,1.237027588E0
1.156110750E0,1.004456223E1,5.671705627E-1,1.352886658E0
1.166064750E0,9.767787781E0,5.650749207E-1,1.452878723E0
1.176019750E0,9.480834503E0,6.071374512E-1,1.464554443E0
1.185974750E0,9.252110138E0,6.285429382E-1,1.427132263E0
1.195928750E0,9.082063751E0,6.306385803E-1,1.520388336E0
1.205883750E0,9.005572815E0,6.309379578E-1,1.679657135E0
1.215838750E0,9.098230133E0,6.330335999E-1,1.686243439E0
1.225792750E0,9.246421967E0,5.933660889E-1,1.585652618E0
1.235747750E0,9.429790649E0,5.545967102E-1,1.351090393E0
1.245701750E0,9.561516724E0,5.782475281E-1,1.076112213E0
1.255656750E0,9.633217621E0,6.565347290E-1,8.641529846E-1
1.265611750E0,9.616003418E0,7.438032532E-1,8.451425171E-1
1.275565750E0,9.509874115E0,8.732839966E-1,9.372010803E-1
1.285520750E0,9.413923645E0,9.089099121E-1,9.809101868E-1
1.295474292E0,9.434880066E0,9.072633362E-1,8.634045410E-1
1.305429292E0,9.503437500E0,8.940907288E-1,6.466552734E-1
1.315384292E0,9.580227814E0,9.059161377E-1,4.837939453E-1
1.325338292E0,9.679621124E0,9.750723267E-1,4.093986511E-1
1.335293292E0,9.818681946E0,9.410929871E-1,4.478686523E-1
1.345247292E0,9.945767670E0,8.102650452E-1,5.441184998E-1
1.355202292E0,1.004935226E1,6.890171814E-1,5.670208740E-1
1.365157292E0,1.013332764E1,6.249504089E-1,6.090834045E-1
1.375111292E0,1.008273285E1,7.207511902E-1,7.150630188E-1
1.385066292E0,9.920021210E0,8.319699097E-1,7.674540710E-1
1.395020292E0,9.870324554E0,8.997789001E-1,7.791297913E-1
1.404975292E0,9.882449341E0,9.102571106E-1,7.888595581E-1
1.414930292E0,9.751471710E0,9.533674622E-1,8.424481201E-1
1.424884292E0,9.592502289E0,1.086740112E0,8.878038025E-1
1.434839292E0,9.428892517E0,1.175056458E0,8.927435303E-1
1.444793292E0,9.368867340E0,1.278491364E0,9.590556335E-1
1.454748292E0,9.379046173E0,1.243314514E0,9.641450500E-1
1.464703292E0,9.452543335E0,1.096918945E0,1.005459137E0
1.474657292E0,9.509125671E0,1.048270111E0,9.142987061E-1
1.484612292E0,9.561217346E0,8.981323242E-1,9.331594849E-1
1.494566292E0,9.505383453E0,6.535409546E-1,1.090182953E0
1.504521292E0,9.539063416E0,6.270460510E-1,1.195563812E0
1.514476292E0,9.642648010E0,8.824150085E-1,1.210083618E0
1.524430292E0,9.697134705E0,1.123114471E0,1.155447235E0
1.534385292E0,9.727671204E0,1.249601440E0,1.192719727E0
1.544340292E0,9.857601013E0,1.287023621E0,1.107247467E0
1.554294292E0,9.899663544E0,1.337169342E0,1.055904236E0
1.564249292E0,9.995015259E0,1.299298096E0,1.065184937E0
1.574203292E0,1.000384689E1,1.260977783E0,1.045575714E0
1.584158292E0,9.923464050E0,1.206640778E0,9.873468018E-1
1.594113292E0,9.844727783E0,1.188229065E0,9.999206543E-1
1.604067292E0,9.723779297E0,1.154848480E0,1.094224548E0
1.614022292E0,9.793234863E0,1.055006104E0,1.185085602E0
1.623976292E0,9.824819183E0,9.795629883E-1,1.304387512E0
1.633931292E0,9.705816650E0,9.494755554E-1,1.355281677E0
1.643886292E0,9.538913727E0,9.099577332E-1,1.347348175E0
1.653840292E0,9.395511932E0,8.442443848E-1,1.331481171E0
1.663795292E0,9.400900726E0,7.987390137E-1,1.262324982E0
1.673749292E0,9.459578705E0,7.912545776E-1,1.203048248E0
1.683704292E0,9.525741119E0,8.219407654E-1,1.257984009E0
1.693659292E0,9.558672638E0,8.402027893E-1,1.301543427E0
1.703613292E0,9.552685089E0,9.056167603E-1,1.423689423E0
1.713568292E0,9.668095093E0,9.084608459E-1,1.437909851E0
1.723522292E0,9.730365601E0,8.143066406E-1,1.332079926E0
1.733477292E0,9.742041321E0,7.348219299E-1,1.217268677E0
1.743432292E0,9.749525757E0,6.873706055E-1,1.182840271E0
1.753386292E0,9.705517273E0,6.646179199E-1,1.218466187E0
1.763341292E0,9.638606415E0,6.743476868E-1,1.275198212E0
1.773296292E0,9.603130188E0,6.972500610E-1,1.250349884E0
1.783250292E0,9.550739136E0,7.271878052E-1,1.221609650E0
1.793205292E0,9.559870148E0,7.279362488E-1,1.194066925E0
1.803159292E0,9.647288361E0,6.935078430E-1,1.190923462E0
1.813114292E0,9.707762604E0,6.637197876E-1,1.179996185E0
1.823069292E0,9.717192993E0,6.304888916E-1,1.166673889E0
1.833023292E0,9.678722992E0,6.444099426E-1,1.170116730E0
1.842978292E0,9.640702057E0,6.741979980E-1,1.141526184E0
1.852932292E0,9.661359100E0,7.282356262E-1,1.114731903E0
1.862887292E0,9.688602448E0,7.688012695E-1,1.129401398E0
1.872842292E0,9.684111786E0,8.023315430E-1,1.152902527E0
1.882796292E0,9.667795715E0,8.198451233E-1,1.130898285E0
1.892751292E0,9.630223846E0,8.619076538E-1,1.069675598E0
1.902705292E0,9.590556335E0,9.032217407E-1,1.056952057E0
1.912660292E0,9.624236298E0,9.276210022E-1,1.078058167E0
1.922615292E0,9.602681122E0,8.919950867E-1,1.177002411E0
1.932569292E0,9.621841278E0,8.616082764E-1,1.255888367E0
1.942524292E0,9.677824860E0,8.041278076E-1,1.272952881E0
1.952478292E0,9.734706573E0,7.659571838E-1,1.221310272E0
1.962433292E0,9.742041321E0,7.604187012E-1,1.245559845E0
1.972388292E0,9.758806458E0,7.322772217E-1,1.298849030E0
1.982342292E0,9.871522064E0,7.089257812E-1,1.299298096E0
1.992297292E0,9.837692413E0,6.592291260E-1,1.242715759E0
2.002251292E0,9.718240814E0,6.441105652E-1,1.159339142E0
2.012206292E0,9.598040771E0,6.695576477E-1,1.054107971E0
2.022161292E0,9.543703766E0,7.286846924E-1,9.921368408E-1
2.032115292E0,9.542805634E0,7.728428650E-1,1.014141083E0
2.042070292E0,9.561666412E0,8.098159790E-1,1.068627777E0
2.052024292E0,9.645791473E0,8.557704163E-1,1.058598633E0
2.061979292E0,9.738299103E0,8.526269531E-1,1.015637970E0
2.071934292E0,9.782157898E0,8.632548523E-1,9.711804199E-1
2.081888292E0,9.769284668E0,8.678952026E-1,9.503736877E-1
2.091843292E0,9.738149414E0,8.488847351E-1,9.663903809E-1
2.101797292E0,9.720186768E0,8.193960571E-1,9.882449341E-1
2.111752292E0,9.721234589E0,7.463479614E-1,9.831555176E-1
2.121707292E0,9.703421631E0,6.807843018E-1,9.677375793E-1
2.131661292E0,9.687404938E0,6.806346130E-1,9.999206543E-1
2.141616292E0,9.706116028E0,8.068222046E-1,1.054107971E0
2.151571292E0,9.697883148E0,8.708889771E-1,1.122815094E0
2.161525292E0,9.690099335E0,8.008346558E-1,1.190175018E0
2.171480292E0,9.656269684E0,6.973997498E-1,1.219963074E0
2.181434292E0,9.630972290E0,6.020480347E-1,1.198856964E0
2.191389292E0,9.646988983E0,5.831872559E-1,1.168470154E0
2.201344292E0,9.660161591E0,5.634283447E-1,1.194216614E0
2.211298292E0,9.696386261E0,5.809419250E-1,1.253942413E0
2.221253292E0,9.755064240E0,5.942642212E-1,1.241368561E0
2.231207292E0,9.853559418E0,6.045927429E-1,1.167422333E0
2.241162292E0,9.918075256E0,6.481521606E-1,1.176104279E0
2.251117292E0,9.882000275E0,6.626719666E-1,1.196312256E0
2.261071292E0,9.759105835E0,6.218069458E-1,1.214873657E0
2.271026292E0,9.635163574E0,5.516029358E-1,1.205293579E0
2.280980292E0,9.513766022E0,4.930746460E-1,1.163231049E0
2.290935292E0,9.454040222E0,4.324507141E-1,1.089733887E0
2.300890875E0,9.403744812E0,4.511618042E-1,1.065484314E0
2.310844875E0,9.434730377E0,4.938230896E-1,1.191971283E0
2.320799875E0,9.585616608E0,5.517526245E-1,1.412163391E0
2.330753875E0,9.746981049E0,6.397695923E-1,1.558259583E0
2.340708875E0,9.884095917E0,7.464976501E-1,1.556163940E0
2.350663875E0,9.946965179E0,8.596623230E-1,1.535357208E0
2.360617875E0,9.933193817E0,8.927435303E-1,1.567540283E0
2.370572875E0,9.914033661E0,8.964857483E-1,1.519639893E0
2.380526875E0,9.825567627E0,8.607101440E-1,1.393901367E0
2.390481875E0,9.660610657E0,7.324269104E-1,1.296903076E0
2.400436875E0,9.500294037E0,6.050418091E-1,1.268013153E0
2.410390875E0,9.400451660E0,4.881349182E-1,1.281335449E0
2.420345875E0,9.402397614E0,4.508624268E-1,1.300196228E0
2.430299875E0,9.462123413E0,4.749623108E-1,1.344354401E0
2.440254875E0,9.525292053E0,5.403762817E-1,1.426084442E0
2.450209875E0,9.564061432E0,6.524931335E-1,1.485810242E0
2.460163875E0,9.590256958E0,7.539820862E-1,1.472937012E0
2.470118875E0,9.571695557E0,7.936495972E-1,1.449286194E0
2.480073875E0,9.561067657E0,8.837622070E-1,1.478325806E0
2.490027875E0,9.613608398E0,9.319619751E-1,1.512305145E0
2.499982875E0,9.730365601E0,9.427395630E-1,1.534608765E0
2.509936875E0,9.885143738E0,9.621990967E-1,1.542991333E0
2.519891875E0,9.981243896E0,9.262738037E-1,1.555714874E0
2.529846875E0,9.969418488E0,8.873547363E-1,1.478625183E0
