"event","experiment time","system time","system time text"
"START",0.000000000E0,1699194061.412,"2023-11-05 23:21:01.412 UTC+09:00"
"PAUSE",8.141754565E1,1699194142.829,"2023-11-05 23:22:22.829 UTC+09:00"
